vraag,antwoord
Hoe heet de heilige bron in Mekka, Zamzam
Hoe heet een hoofdstuk en een vers in de Koran, Soera en Ayat
Hoe heet de spreuk van de Islam, Sjahada
Hoe heet het Keltisch alfabet dat Ierse barden gebruikten om hun liederen door te geven en dat gebruikt wordt voor inscripties in stenen, Ogham
Hoe heet het mythische volk dat voor de Gael maar nà de Fir Bolg Ierland zou bevolkt hebben, Tuatha Dé Dannan
Hoe heet de mythische heuvel waar ooit de hoofdstad van Ierland zou gestaan hebben in het tijdperk van de Tuatha Dé Dannan, Tara Hill.
Wie is de Moedergodin van Ierland, Eriu of Eire.
Wie zijn naast Patrick de twee patroonheiligen van Ierland, Brigid en Columba
Hoe heten de Welshe mythologische kronieken, Mabinogi
Keltische moeder- en vruchtbaarheidsgodinnen en godin van vuur/poëzie, Danu en Birgid
Vrouw van Priamos en een gelijkluidende godin met drie hoofden, Hekabe en Hecate 
Welke nimfen bewaakten de boom met gouden appels, Hesperiden
Welke Romeinse godheid stond centraal in een mysterieuze soldatencultus?, Mithras
Welke drie-lichamige reus werd door Herakles verslagen in de Griekse mythologie, Geryones
Welke nymf gijzelde Odysseus 7 jaar lang op haar eiland, Calypso
Welke god verenigde en vergriekste Osiris en Apis, Serapis
Dochters Elektra en Thaumas met het gezicht van een oude vrouw vleugels en scherpe klauwen, harpij
Dier samengesteld uit verschillende dieren bijvoorbeeld paard met leeuwenkop, chimaera
Griekse oergodinnen van respectievelijk de nacht en de aarde, Nyx en Gaia
Wat is het woord voor “waarheid” in het Indisch, Sach
De algemene naam voor de heilige geschriften bij de Hindoes, Upanishaden
Hoe heet de mythische olifant met meerdere koppen die in zowel het hindoeïsme als het boeddhisme een heilige status heeft?, Airavati of Erawan Ganesha
Welke aapgod is een centrale figuur in het Indiase epos Ramayana?, Hanoeman
De auteur van een verzonnen mythologie uit de Schotse hooglanden en de naam van die verhalencyclus, Macpherson en de Ossian
De raven van Odin, Huggin en Munnin
Het finse nationale epos, kalevala
Welke Noordse god van oorlog en recht verloor zijn hand aan de wolf Fenrir?, Tyr
Hoe heten zijn de schikgodinnen of lotsgodinnen uit de Noordse mythologie die worden voorgesteld als drie zusters, Nornen
Noorse Godin van de winter en de jacht, Skadi
Germaanse vruchtbaarheidsgodin geassocieerd met vrede en natuur, Nerthus
eenzame en gemeenzame monniken, heremieten en cenobieten
beschermheilige van tandartsen, Appolonia van Alexandrië 
orde van missionarissen die omkwamen in bokseropstand, Scheutisten
Hoe zijn de “metgezellen in de grot” uit de Islam bekend in de Christen mythologie, de zevenslapers van Efeze
Welke Bijbelse of mythische monsterfiguur staat symbool voor chaos?, Behemot
Welke Bijbelse zeemonsterfiguur komt voor de politieke filosofie van Hobbes?, Leviathan
Tot welke christelijke gemeenschap in Libanon behoren veel volgelingen van het patriarchaat?, Maronieten
Hoe heet in de katholieke theologie de leer dat brood en wijn werkelijk in het lichaam en bloed van Christus veranderen?, Transsubstantiatie
Hoe heet het katholieke feest dat op 1 januari wordt gevierd acht dagen na Kerstmis?, Besnijdenis van de Heer
In de kunst wordt deze heilige voorgesteld als bisschop met een beer of wolf, Vedastus
Joods begrafeniskleed of trouwkleed, Kittel
Joods Paasfeest en herdenking van het einde van de Joodse slavernij in Egypte, Pesach
Omheiningsmuur of draad rond een gebied waarbinnen tijdens de Sabbat goederen vervoerd mogen worden (in België heeft enkel Antwerpen dat), Eroev
dans en geloof in Zuid-Amerika dat Afrikaanse en Christen elementen vermengt, Candomblé
Amulet uit de Afrikaanse religie, Gris gris
Andes-moedergodin van de aarde en vruchtbaarheid, Pachamama
Welke Mexicaanse legende gaat over de “huilende vrouw”?, La Llorona
personage en reus in Luik, tchantches
volksfiguur uit Geraardsbergen, kinneke baba
folkloristische pop uit Mechelen, opsinjoorke
Waar hield de Bende van Jan de Lichte zich op, Raspaillebos
Wie speelde Jan de Lichte en wie regisseerde, Matteo Simoni en Robin Pront
Waar is Jan de Lichte geboren, Velzeke
Wie maakte een bronzen beeld van Jan de Lichte terwijl hem gevraagd was er een van Boon te maken, Roel d’Haese
Waar staat nu het beeld van Jan de Lichte, Justitiepaleis Antwerpen
Hoe heet het fabeldier uit de Perzische mythologie, mantichora
Welke twee namen geven we aan de heilige die Jezus een doek aanbood om zijn zweet af te vegen tijdens de kruisweg, Veronica en Berenice
Welke twee Japanse wezens uit folklore worden vaak voorgesteld als wasbeerhond en vos?,Tanuki en Kitsune
De nulmeridiaan werd ook geclaimd door het zuidelijkste Canarische Eiland, El Hierro
Hoe noemde men de Andesgoden in de eigen Quechua-taal, Waka
Wat is de diepste krocht van de Griekse hel waar onder meer Sisyphos en Tantalos verblijven, Tartaros
