vraag,antwoord
Welk hondenras is klein en heeft een lange vacht?,Shih Tzu
Welk biologisch fenomeen beschrijft verhoogde seksuele interesse bij nieuwe partners?,Coolidge-effect
Welke reigersoort deelt zijn naam met een bier?,Kwak
Welke Zuid-Amerikaanse knaagdier lijkt op een kleine hertachtige?,Mara
Een bloem die erg goed lijkt op een paardenbloem en ook een dier in de naam heeft, biggenkruid
Welke manier van lopen kunnen enkel IJslandse paarden, Tölt
Hoe heet de rollende droge plant die vaak voorkomt in woestijnen en westernfilms?,Tumbleweed of stepperoller
Welke vlinder heeft een voorjaarsvorm en een zomervorm, Landkaartje
Welke voederplant voor vee staat ook bekend als alfalfa?,Luzerne
Welke zeevogel heeft een zwarte kop en rug en een witte onderzijde en een hoge snavel die in de breedte is samengedrukt, Alk
Hoe heet een blauwe ara die niet meer in het wild in Brazilië voorkomt maar wel in Pairi Daiza, Spix
Welke plant heeft één enkel besje en is licht giftig?,Eenbes
Hoe heet de giftige Atropa Belladona bij ons, Wolfskers
Hoe heet de Vlaamse benaming voor een Vlaamse gaai?,Wuiten
Welke paddenstoel groeit vaak in een cirkel en wordt in volksverhalen met sprookjeswezens geassocieerd?,Elfenbankje
Welke boom in de Sahara van Niger stond bekend als het meest geïsoleerde exemplaar ter wereld?,Acacia van Ténéré
Welke bloem staat symbool voor rijkdom en eer in China?,Pioenroos
Wat is een andere naam voor de Kaapse Buffel?,Kafferbuffel
Welke kleine plant met oogachtige bloemen heet Euphrasia?,Ogentroost
Welk runderras komt oorspronkelijk uit Schotland?,Angus
Welke grote gele vlinder heet Papilio machaon?,Koningspage
Welke vlinderbloemige voederplant staat ook bekend als alfalfa?,Luzerne
Welke blauwe bloem werd symbool van de Duitse romantiek?,Korenbloem
Wat is de andere naam voor een buidelmiereneter die ROA aanbracht in Freemantle Australië, Numbat
Welke bloem is het symbool van de keizerlijke macht in Japan?, Chrysant
Welke naaldboom levert vaak hout voor meubels en constructies?,Grenen
