vraag,antwoord
Wie was de eerste president van de Verenigde Staten?,George Washington
Wie was de tweede president van de Verenigde Staten?,John Adams
Wie was de derde president van de Verenigde Staten?,Thomas Jefferson
Wie was de vierde president van de Verenigde Staten?,James Madison
Wie was de vijfde president van de Verenigde Staten?,James Monroe
Wie was de zesde president van de Verenigde Staten?,John Quincy Adams
Wie was de zevende president van de Verenigde Staten?,Andrew Jackson
Wie was de achtste president van de Verenigde Staten?,Martin Van Buren
Wie was de negende president van de Verenigde Staten?,William Henry Harrison
Wie was de tiende president van de Verenigde Staten?,John Tyler
Wie was de elfde president van de Verenigde Staten?,James K. Polk
Wie was de twaalfde president van de Verenigde Staten?,Zachary Taylor
Wie was de dertiende president van de Verenigde Staten?,Millard Fillmore
Wie was de veertiende president van de Verenigde Staten?,Franklin Pierce
Wie was de vijftiende president van de Verenigde Staten?,James Buchanan
Wie was de zestiende president van de Verenigde Staten?,Abraham Lincoln
Wie was de zeventiende president van de Verenigde Staten?,Andrew Johnson
Wie was de achttiende president van de Verenigde Staten?,Ulysses S. Grant
Wie was de negentiende president van de Verenigde Staten?,Rutherford B. Hayes
Wie was de twintigste president van de Verenigde Staten?,James A. Garfield
Wie was de eenentwintigste president van de Verenigde Staten?,Chester A. Arthur
Wie was de tweeëntwintigste president van de Verenigde Staten?,Grover Cleveland
Wie was de drieëntwintigste president van de Verenigde Staten?,Benjamin Harrison
Wie was de vierentwintigste president van de Verenigde Staten?,Grover Cleveland
Wie was de vijfentwintigste president van de Verenigde Staten?,William McKinley
Wie was de zesentwintigste president van de Verenigde Staten?,Theodore Roosevelt
Wie was de zevenentwintigste president van de Verenigde Staten?,William Howard Taft
Wie was de achtentwintigste president van de Verenigde Staten?,Woodrow Wilson
Wie was de negenentwintigste president van de Verenigde Staten?,Warren G. Harding
Wie was de dertigste president van de Verenigde Staten?,Calvin Coolidge
Wie was de eenendertigste president van de Verenigde Staten?,Herbert Hoover
Wie was de tweeëndertigste president van de Verenigde Staten?,Franklin D. Roosevelt
Wie was de drieëndertigste president van de Verenigde Staten?,Harry S. Truman
Wie was de vierendertigste president van de Verenigde Staten?,Dwight D. Eisenhower
Wie was de vijfendertigste president van de Verenigde Staten?,John F. Kennedy
Wie was de zesendertigste president van de Verenigde Staten?,Lyndon B. Johnson
Wie was de zevendertigste president van de Verenigde Staten?,Richard Nixon
Wie was de achtendertigste president van de Verenigde Staten?,Gerald Ford
Wie was de negenendertigste president van de Verenigde Staten?,Jimmy Carter
Wie was de veertigste president van de Verenigde Staten?,Ronald Reagan
Wie was de eenenveertigste president van de Verenigde Staten?,George H. W. Bush
Wie was de tweeënveertigste president van de Verenigde Staten?,Bill Clinton
Wie was de drieënveertigste president van de Verenigde Staten?,George W. Bush
Wie was de vierenveertigste president van de Verenigde Staten?,Barack Obama
Wie was de vijfenveertigste president van de Verenigde Staten?,Donald Trump
Wie was de zesenveertigste president van de Verenigde Staten?,Joe Biden
