vraag,antwoord
Welke invasieve sierplant uit Azië staat bekend om zijn giftige bessen en wordt in Europa bestreden als plaagsoort?,Cotoneaster
Welk zeezoogdier heeft het grootste geslachtsdimorfisme van alle dieren — mannetjes wegen tot 10 keer zoveel als vrouwtjes?,Zeeolifant
Welke inheemse plant met roodachtige knolvormige wortelstok wordt ook wel 'slangenkruid' of 'Bistorta officinalis' genoemd?,Adderwortel
Welke Europese kever is herkenbaar aan zijn opvallende hoornachtige uitgroeisel en behoort tot de zwaarste kevers van ons continent?,Neushoornkever
Welke kleine Europese blauwe dagvlinder dankt zijn naam aan de Griekse god van het vliegen en staat op de lijst van beschermde soorten?,Icarusblauwtje
Welke grote Europese dagvlinder behoort tot de page-familie en staat bekend om zijn opvallende staartaanhangsels op de achtervleugels?,Koningspage
Wie droeg in de Bijbelse overlevering het kruis van Jezus op diens weg naar Golgotha?,Simon (van Cyrene)
Welk kannibalisch volk uit Homerus' Odyssee vernietigde het merendeel van Odysseus' vloot met rotsblokken?,Laestrygonen
Welk magisch voorwerp in de Noordse mythologie was het oog dat Odin offertoaan Mimir in ruil voor wijsheid?,Odins oo
Op welk instrument blies Roland om hulp te vragen tijdens de Slag bij Roncevalles?,Olifantshoorn
Welke twee heilige dieren worden in de Egyptische mythologie geassocieerd met de god Toth?,Ibis en baviaan
Welke Haïtiaanse voodoo-godheid is heer van de dood en de kruispunten en verschijnt doorgaans in een zwart pak met hoed?,Baron Samedi
Welke Britse architect ontwierp onder meer het Reichstagskoepel in Berlijn en de Millennium Bridge in Londen?,Norman Foster
Welke Belgische symbolistische schilder staat bekend om zijn zelfportret met maskers en zijn werk 'De intrede van Christus in Brussel'?,James Ensor
Welke abstracte kunststroming uit de jaren 1960 speelt met optische illusies om beweging of diepte te suggereren?,Op-art
Welke Duitse expressionistische beeldhouwer schiep het beroemde werk 'De gevelde' (Der Gestürzte) en stierf in 1919?,Wilhelm Lehmbruck
Welke Belgische naïef-schilder stond bekend om zijn sprookjesachtige taferelen en was een tijdgenoot van James Ensor?,Tytgat Edgard Tytgat
Welke Amerikaanse popkunstenaar uit New York staat bekend om zijn felgekleurde figuurwerken en zijn inzet voor aidsonderzoek?,Keith Haring
Welke Nederlandse surrealistische schilder wordt geassocieerd met de Cobra-beweging en schilderde onder meer 'La Roue Rouge'?,Wifredo Lam
Welke Vlaamse primitieve schilder schilderde het drieluik 'De aanbidding der koningen' en het portret van de familie Portinari?,Hugo van der Goes
Welke Hollandse Gouden-Eeuwse meester staat bekend om zijn levendige groepsportretten zoals 'De schuttersmaaltijd van de officieren'?,Frans Hals
Welk Aziatisch land werd in 2002 onafhankelijk na decennialange bezetting door Indonesië en is daarmee het jongste land van Azië?,Oost-Timor
Welke rivier in Siberië is qua stroomgebied de op een na grootste ter wereld en mondt uit in de Karazee?,Ob
Welk UNESCO Werelderfgoedgebied aan de kust van Engeland staat bekend om zijn blootgelegde fossielen uit het Jura-tijdperk?,Jurassic Coast
Welke landengte op de Krim verbindt het Russische vasteland met het schiereiland Krim?,Perekop
Hoe heet de Amerikaanse zijde van de Niagarawatervallen — de boogvormige hoofdwaterval?,Horseshoe Falls
Op welke eilanden in het Panamakanaal stond tot 1999 het hoofdkwartier van het Zonelandkanaal-bestuur?,Goat Islands
Welk Belgisch spaarbekken en vogelreservaat in de Westhoek is het grootste aaneengesloten rietmoeras van Vlaanderen?,Blankaart
Welke Amerikaanse marineofficier stond centraal in het Iran-Contraaffaire-schandaal onder president Reagan?,Oliver North
Wie leidde de boerenkrijg?,Van Gansen
Welk duo van Britse onderhandelaars sloot in 1713 namens Groot-Brittannië de Vrede van Utrecht?,Atkin & Berbrook
Welke Vlaamse leider sneuvelde in 1328 in de Slag bij Cassel in zijn strijd tegen de Franse koning?,Nikolaas Zannekin
Welk Belgisch akkoord uit 1992 regelde de overdracht van bevoegdheden van de federale staat naar de gewesten en gemeenschappen?,Lambermont
Hoe heet de militaire campagne waarbij Nederland in 1831 in tien dagen het jonge België binnenviel maar door Franse tussenkomst moest stoppen?,Tiendaagse veldtocht
Welke Pruisische veldmaarschalk speelde een doorslaggevende rol in de definitieve nederlaag van Napoleon bij Waterloo?,Blücher
Welke Engelse voetbalclub speelt zijn thuiswedstrijden in Carrow Road en staat bekend als 'The Canaries'?,Norwich (City)
Welke Argentijnse voetbalclub won als eerste Zuid-Amerikaanse club de Intercontinental Cup meerdere keren op rij?,Estudiantes (de La Plata)
Welke Engelse voetbalclub speelt in St. James' Park en heeft de bijnaam 'The Magpies'?,Newcastle (United)
Welke Engelse voetbalclub speelt in Goodison Park en wordt ook wel 'The Toffees' genoemd?,Everton
Welke Belgische tennisser raakte als lucky loser tot de kwartfinale van Roland Garros?,Mignot
Welke Française was meervoudig werelduurrecordhoudster op de baan en wielrenster van het jaar?,Longo (Jeannie Longo)
Welke Nederlandse veldrijder was wereldkampioen veldrijden meerdere keren en staat bekend om zijn technische rijstijl?,Van der Haar
Welke Belgische volleybalspeler of coach is nauw verbonden met de nationale ploeg 'Red Dragons'?,Mol
Wat was de bijnaam van Hinault?,De Das
Welke Belgische voetballer nadien coach en huidig analist speelde voor Lierse Anderlecht en Club Brugge?,Verheyen
Welke Amerikaanse tennisspeelster won op jonge leeftijd de US Open en wordt beschouwd als een van de grootste talenten van haar generatie?,Gauff
Welke Wit-Russische tennisspeelster veroverde meerdere Grand Slam-titels en was lang nummer één ter wereld?,Sabalenka
Welke Britse schrijver schiep de rooms-katholieke detective-priester Father Brown?,Chesterton
Welke Italiaanse schrijver schreef de roman 'De acht bergen'  die ook werd verfilmd?,Paolo Cognetti
Welke Amerikaanse hardboiled-schrijver schiep de privédetective Philip Marlowe?,Raymond Chandler
Welke twee Vlaamse stripfiguren zijn een herdersduo dat avonturen beleeft en werden gecreëerd door Marc Sleen?,Dag en Heidi
Welke twee Vlaamse auteurs — een uit de 20e en een uit de 21e eeuw — staan bekend respectievelijk om 'De Kapellekensbaan' en 'Oorlogslicht'?,Louis Paul Boon en Tom Lanoye
Welke Portugese Nobelprijswinnaar schreef de roman Stad der blinden?,Saramago
Welk tafereel schilderde Jan van Eyck in zijn beroemde Gentschen meesterwerk?,De geldwisselaar
Welk sterrenbeeld is zichtbaar op de vlag van Australië en Nieuw-Zeeland en is enkel zichtbaar op het zuidelijk halfrond?,Southern Cross (Crux)
Welke fysische grootheid wordt gemeten in joule per seconde of watt en beschrijft de snelheid van energieoverdracht?,Warmte
Welke statistische maat geeft de middelste waarde aan in een gesorteerde reeks en is minder gevoelig voor uitschieters dan het gemiddelde?,Mediaan
Welke Griekse arts uit de Oudheid wordt beschouwd als de vader van de geneeskunde en stelde de humorenleer op?,Claudius Galenus
Welke Britse wiskundige en econoom is bekend om de theorie dat orde altijd zal ontstaan in grote structuren, Frank Ramsey
