vraag,antwoord
Welke brug in Parijs verbindt de Champs Elysées met Invalides en benadrukt de Frans-Russische alliantie, Pont Alexandre III
Welke deelgemeente van Erpe-Mere vinden we twee voormalige brouwerijen van De Koning en Sint-Antonius?,BURST
In welke beruchte gevangenis in Iran belanden politieke tegenstanders van het regime?,Evin
Welke Madrileense wijk werd bekend door de gelijknamige gevangenis?,Carabanchel
Welke Tunesische havenstad is na Tunis de grootste van het land, Sfax
Welke stad langs de zijderoute is de tweedegrootste van Kirgizië, Osh
Welk Spaanse termen gebruiken we voor een warmte- en een koudefenomeen?, El Nino en La Niña
Welke rivier is de langste van Libanon?, Litani
Welk Australisch eiland in de Golf van Carpentaria staat bekend om zijn mangaanmijnen?,Groote Eylandt
Welke snelwegparkingen in Luxemburg lijken wel in Antwerpen te liggen?,Aire de Capellen en Berchem
Welk groot meer ligt tussen de Amerikaanse staten New York en Pennsylvania en de Canadese provincie Ontario?,Erie Meer
Welke autonome regio in Moldavië heeft een Turkstalige bevolking?,Gagaoezië
Welke semi-autonome regio in Somalië ligt in het noordoosten van het land?,Puntland
Welke hoofdstad van Maleisië staat bekend om de Petronas Twin Towers?,Kuala Lumpur
Welke hoge bergpas in de Franse Alpen ligt op de Route des Grandes Alpes?,Col de l'Iseran
Welke Spaanse bergpas nabij Madrid is bekend uit wielerwedstrijden?,Puerto de Navacerrada
Welke twee Frans overzeese eilanden liggen op 85 km van elkaar ten noordoosten van Kerguelen?,Saint-Paul Amsterdam eiland
Welke Indiase stad is een belangrijk Sikh-pelgrimsoord met de Gouden Tempel?,Amritsar
Welke twee betwiste grensgebieden liggen tussen Egypte en Soedan?,Bir Tawil en Halaïb-driehoek
Welke rivier stroomt door Idaho en mondt uit in de Columbia River?,Snake River
Welke Franse rivier stroomt door Auxerre en mondt uit in de Seine?,Yonne
Welke bergketen in de Himmalaya is genoemd naar de Hindu-godin van voedsel?,Annapurna
Welke Belgische gemeente ligt in de provincie Antwerpen aan de Nederlandse grens?,Ravels
Welke wolkensoort bevindt zich hoog in de atmosfeer en bestaat uit ijskristallen?,Cirruswolk
Welke lage wolkensoort vormt vaak een grijze laag aan de hemel?,Stratuswolk
Welke vlag heeft een gestileerde bauhinia-bloem als symbool?,Hong Kong vlag
Welke Afrikaanse vlag heeft een blauwe driehoek en een rode diagonale baan?,Vlag Eritrea
