vraag,antwoord
Welke Belgische voetballer kwam in opspraak na een ongeval met een elektrische step?,Sofian Kiyine
Welke Boliviaanse stad was tijdens de koloniale periode beroemd om haar zilvermijnen?,Potosí
Welke film van Jean-Luc Godard uit 1966 heeft als ondertitel “15 faits précis”?,Masculin Féminin
Welke Belgische expressionistische schilder maakte kleurrijke stillevens en landschappen?,Jean Brusselmans
Welke Amerikaanse sitcom draait rond de familie Finnerty?,Grounded for Life
Welke Sloveense filosoof staat bekend om zijn marxistische en psychoanalytische analyses?,Slavoj Žižek
Welke Hebreeuwse term verwijst naar een herkenningswoord of taalkundige test?,Sjibbolet
Welke film uit 2001 met Joseph Fiennes speelt zich af tijdens de apartheid in Zuid-Afrika?,Dust
Welke Franse dichter werd verliefd op Arthur Rimbaud?,Paul Verlaine
Welk meetinstrument wordt gebruikt om horizontale en verticale hoeken te meten?,Theodoliet
Welke Amerikaanse econoom en voormalig Fed-gouverneur werd genoemd als mogelijke voorzitter van de Federal Reserve?,Kevin Warsh
Welke Italiaanse chef-kok runt Osteria Francescana in Modena?,Massimo Bottura
Welke houten versperring met punten wordt gebruikt tegen cavalerie?,Friese of Spaanse ruiter
Welke komische roadmovie uit 2004 bevat het lied Scotty Doesn’t Know?,EuroTrip
Welke Noorse beeldhouwer maakte een park met beelden in Oslo?,Gustav Vigeland
Welke Zwitserse beeldhouwer stond bekend om zijn langgerekte figuren?,Alberto Giacometti
Welke Britse schrijfster won tweemaal de Booker Prize?,Hilary Mantel
Welke Zuidoost-Aziatische balsport lijkt op volleybal maar wordt gespeeld met de voeten?,Sepak Takraw
Welke schaal wordt gebruikt om mannelijke kaalheid te classificeren?,Schaal van Norwood
Hoe heette de hoofdstad van Nederlands-Indië op Java?,Batavia
Welk luxemerk werd opgericht door Cristóbal X?,Balenciaga
Welke eilandstaat ligt nabij de evenaar en omvat gebieden rond Baker Island?,Kiribati
Welke regisseur maakte Se7en en Fight Club?,David Fincher
Welke Byzantijnse keizer liet de Hagia Sophia bouwen?,Justinianus I
Welke Utrechtse caravaggist kreeg de bijnaam “Gherardo delle Notti”?,Gerard van Honthorst
Welke Vlaamse barokschilder was hofschilder van koning Charles I?,Anthony van Dyck
Welke Belgische entertainmentgroep organiseert revues en musicals?,Music Hall
Welke twee tennissers wonnen alle vier grandslamtoernooien in één kalenderjaar?,Don Budge en Rod Laver
Welke Ethiopische stad staat bekend om haar uit rotsen gehouwen kerken?,Lalibela
Welke Britse natuurkundige ontdekte het neutron?,James Chadwick
Welke oudste man uit de Bijbel zou 969 jaar oud geworden zijn?,Methusalem
Welke Zuid-Amerikaanse maïspannenkoek is typisch voor Venezuela en Colombia?,Arepa
Welke naaldboom levert vaak hout voor meubels en constructies?,Grenen
Welke voormalige Disney-animator regisseerde Brother Bear?,Aaron Blaise
Welke Zweedse koning maakte Zweden onafhankelijk van Denemarken?,Gustaaf I
Welke Zweedse kunstenaars en ontwerpers vormden een bekend artistiek echtpaar?,Carl en Karin Larsson
Welke Cubaans-Amerikaanse kunstenaar maakte minimalistische installaties met snoepjes?,Felix Gonzalez-Torres
Welke Ierse schrijfster schreef Hamnet?,Maggie O’Farrell
Welke Spaanse voetballer won EK’s en WK’s met Spanje en speelde voor Sevilla?,Jesús Navas
Hoe heet een onvrijwillige ritmische oogbeweging?,Nystagmus
Welke Amerikaanse podcasthost presenteert Call Her Daddy?,Alex Cooper
Welke Bosnische bedevaartplaats beweert Mariaverschijningen te hebben gehad?,Medjugorje
Welke Semitische taal wordt gesproken in Eritrea en Ethiopië?,Tigrinya
Welk Frans modemerk staat bekend om tijdloze damesmode?,Sézane
Welke Nederlandse provincie is de grootste qua oppervlakte?,Gelderland
Welke term uit de oudheid verwijst naar het geloof dat bijen spontaan uit karkassen ontstaan?,Bugonia
Welke militaire slavenkaste regeerde ooit Egypte?,Mammelukken
Welke Franse schilder was medegrondlegger van het fauvisme?,André Derain
Welke Britse auteur schreef Winnie-the-Pooh?,Alan Alexander Milne
Welke Schotse schrijver creëerde Peter Pan?,James Matthew Barrie
Welk Finse werpspel gebruikt houten kegels?,Mölkky
Welke Griekse letter wordt gebruikt voor de levensduur van elementaire deeltjes?,Tau
Welke Bijbelse tollenaar klom in een vijgenboom om Jezus te zien?,Zacheüs
Hoe heet het transmissiesysteem van DAF met traploze versnelling?,Variomatic
Welke Franse naïeve schilder maakte exotische jungletaferelen?,Henri Rousseau
