vraag,antwoord
Welke ziekte veroorzaakt kromming van de penis door bindweefselvorming?,Peyronie
Wat is een ander woord voor erffactor,allel
Wie won de eerste nobelprijs geneeskunde? Hij was een assistent van Koch. Hij vond met Paul Ehrlich een vaccin tegen dyfterie,Emil von Behring
Welke oogarts die een telg is uit een bankiersfamilie gaf zijn naam aan een ziekte, Tay Sachs
Welk bedrijf en familie zat achter het oxycontin schandaal,purdue en sackler
Welke Nederlander promoot het medisch nihilisme, Jacob Stegenga
Waar in de hersenen wordt informatie van het korte naar langetermijngeheugen gebracht,hippocampus
Welke voorloper van Novartis bracht LSD op de markt,Sandoz
Wat is een algemene naam voor seksuele afwijking, parafilie
Welke atomaire stof vervolledigt de formule voor Isobetadine? povydon,iodium
Wat is de formule voor lachgas, N2O
Welke ziekte krijg je niet bij een bepaalde mutatie van het gen CCR5-delta32,HIV
Welke Duitser is de vader van het klonen,Speman
Wat is de naam voor de laterale fissuur in hersenen,groeve van Sylvius
Hoe heette een aandoening in de Middeleeuwen die aanleiding geeft tot motorische onrust,frenesis
Waar wordt het vrouwelijk DNA geregenereerd,mitochondriën
Waarvoor diende fentanyl voor het een vreselijke drug werd,anesthesie bij paarden
Hoe heet leven na dood waarbij iemand ingevroren wordt om later weer te ontdooien,cryonisme
Welke Grieksromein uit Pergamon zou 15 eeuwen de geneeskunde bepalen, Claudius Galenus
Welke Perzische geleerde uit de middeleeuwen schreef De Canon van de Geneeskunde?,Avicenna
Wie was de eerste vrouwelijke arts in België?, Isala Van Diest
Hoe heet een slaapstoornis waarbij mensen seksuele handelingen stellen?,Sekssomnia
Hoeveel botten heeft een mens?, 206
Welke ziekte probeerde men op te sporen met de Wassermantest, Syfilis
Welke worm parasiteert op de mens en veroorzaakt dracunculiasis, Guineaworm
Wat bedacht de gynaecoloog pfannenstiel, bikinisnede
Verlangen naar geborgenheid als een kat in een kartonnen doos, Thigmofilie
Infrasoon geluid dat mensen de controle over hun darmen doet verliezen, Brown note
Amerikaans chirurg en de vader van de spijsvertering, William Beaumont
Hoe wordt cellulitis in de volksmond vaak genoemd?,Appelsienhuid
Welke medische techniek brandt weefsel weg?,Cauterisatie
Welke medische behandeling gebruikt schokgolven om nierstenen te verbrijzelen?,Lithotripsie
Welk enzym is verantwoordelijk voor het ontwikkelen van de DNA-Helix tijdens replicatie?, Helicase
Welke Franse chirurg ontwikkelde een nieuwe techniek om bloedvaten te hechten en kreeg daarvoor de nobelprijs in 1912, Alexis Carrel
Wie ontdekte insuline?,Frederick Banting
16de eeuwse Zwitserse dokter, Gessner
Grondlegger van de erfelijkheidsleer, Mendel
Bedenkers van het dubbele helixmodel, Crick en Watson
Wiens experimenten voorzagen Crick en Watson van hun bewijsmateriaal, Franklin
Andere naam voor pijnstillers, analgetica
Veelgebruikt middel tegen parasieten, closantel
dokter die hygiëne introduceerde, Lister
Hoe heet het syndroom waarbij men losse gewrichten krijgt, Ehlers Danlos
Welke Zweedse geneticus kreeg de Nobelprijs voor zijn werk aan oud DNA?, Paabo
Hoe heten de uiteinden van chromosomen die een rol spelen in veroudering?, Telomeer
Hoe heet de genetische aandoening waarbij een man een extra X-chromosoom heeft?, Syndroom van Klinefelter
Test voor het opsporen van Down Edwards syndroom en Patau syndroom door het DNA van de baby afkomstig van de placenta in het bloed van de moeder te meten, NIPT
Wat is de wetenschappelijke naam voor geslachtsloze voortplanting, Parthenogenese
Hoe heten de blaasjes in de eierstokken waar eicellen geboren worden, follikels
Het uit de taxus gewonnen paclitaxel wordt gebruikt in chemotherapie en is dus een, cytostaticum
Wie begreep dat mosterdgas kon gebruikt worden tegen leukemie, Stewart Alexander
Andere naam voor scheurbuik, Beri Beri
Amerikaanse uroloog die zijn naam gaf aan een operatie waarbij een scheve penis wordt rechtgezet, Nesbit
Hoe noemen we een beschreven Griekse scherf,ostrakon
Waar werd het skelet van een hond gevonden die tentoongesteld staat in het museum voor natuurwetenschappen,Goyet
Waar werd het skelet van een mammoet gevonden die tentoongesteld staat in het museum voor natuurwetenschappen,Lier
Hoe heet de mensensoort die naast de homo heidelbergensis leefde in Afrika,Homo Rhodesiensis
Hoe heet het hoedachtige deel van een paddenstoel? Het is ook een muts uit griekenland,pileus
Welke Fransman was de geestelijke pionier van flora op de Antillen,Charles Plumier
wat is bijenleer, apidologie
welke wetenschapper toonde dat voortplanting zoekt naar een 1 op 1 verhouding,Fisher
Welke Poolse onderzoeker deed belangrijke bijdragen aan de fauna en flora van de grote oceaan, Kubary
Van welke Griekse wetenschapper is enkel een botanisch boekje overgebleven, Theophrastus
Hoe heet de studie van mossen, Bryologie
Hoe heet de wetenschap die zich bezighoudt met schimmels?,Mycologie
Wie schreef Principles of Biology en introduceerde de uitdrukking Survival of the fittest, Herbert Spencer
Hoe noemen we de enorme toename aan complexe levensorganismen op aarde zo'n 540 miljoen jaar geleden, Cambrische explosie
Welke bioloog staat bekend om zijn theorie over bevolkingsgroei?,Paul Ehrlich
Welke theorie zegt dat een soort voortdurend moet evolueren om zijn ecologische niche te behouden, Red Queen
Wie bedacht een pseudo-geneeskunde op basis van dierlijk magnetisme?, Mesmer
Hoe heet het fenomeen waarbij iemand twee verschillende oogkleuren heeft?,Heterochromie
Welke aandoening wordt ook Takotsubo-cardiomyopathie genoemd?,Gebrokenhartsyndroom
