vraag,antwoord
Hoe noemt men het Japanse misdaadsyndicaat dat vaak wordt aangeduid met de cijfers 8-9-3?, yakuza
Welke Zweedse koning uit de 17e eeuw was bekend als de ‘Leeuw van het Noorden’?, Gustaaf Adolf
Hoe heet de belangrijke pre-Columbiaanse archeologische site in Mexico bekend om zijn piramide van de nissen?, El Tajín
In welke uitgeverij zijn Nijgh & Van Ditmar en Querido opgegaan, Singel
Wie was de eerste dichteres des vaderlands, Anne Vegter
Naar welke eerste vrouwelijke doctor in de rechten is een prijs vernoemd?, Popelin
Wie won de popelinprijs in 2021 voor haar onderzoek naar seksueel geweld, Ines Keygnaert
Wie schreef Wolf over haar overleden broer, taveirne
Hoe heet de schaal voor technologische vooruitgang, Kardashev
Hoe heet de schaal voor uitwerpselen, Bristol
Hoe heet de schaal voor wenen van ajuinen, Pyruvate
Hoe heet de schaal voor seksuele geaardheid, Kinsey
Hoe heet de schaal voor vervuiling in water, Platina Kobalt
Naar welke twee Italiaanse steden zijn schalen vernoemd voor impact van een meteoorinslag, Palermo en Torino
Hoe heet de schaal voor lichtvervuiling, Bortle
Hoe heet de schaal voor de impact van een steracteur op het succes van de film, Ulmer
Hoe heet de schaal voor mannelijke kaalheid, Hamilton Norwood
Hoe heet de romeinse rechtsregel die actie van een eigenaar beschrijft?, actio poliana
Hoe heet de houten of metalen katrol die gebruikt wordt bij boten en tuigage?, Poelie
Hoe heet het proces waarbij textiel verstevigd wordt met stijfsel?, Cording
Welke bisschop gaf Trump haar speech de wenk de eenheid te bewaren en tot welke kerk behoorde ze?, Budde en Epyscopatische 
Hoe heet de zoete drank op basis van tijgernoten of amandelen populair in Spanje en Mexico?, horchata
een turntoestel bestaande uit twee grote ringen waarin acrobaten oefeningen uitvoeren, röhnrad
gymnastiek of acrobatiek uitgevoerd op een bewegend paard, voltige
Deense schilder en medeoprichter van de CoBrA-beweging, Asger Jorn
Deense kunstenaar bekend binnen de Situationisten, Jørgen Nash
Belgische dichter en kunstenaar medeoprichter van CoBra, Christian Dotremont
Nederlandse abstracte schilder en CoBrA-lid, Theo Wolvecamp
een hoge Andesberg op de grens tussen Argentinië en Chili, agua negra
