vraag,antwoord
Wat is het hoogste punt van België?,Baltiaheuvel
Wat is de Duitstalige naam van het hoogste punt van België?,Weisse Stein
Welke gehucht in Sint-Pieters-Leeuw is bekend van de jaarlijkse jaarmarkt?,Holleken
Welke Brusselse wijk ligt rond het gelijknamige station in Laken?,Bockstael
Welke Belgische provincie heeft een vlag met een rode leeuw op geel?,Limburg
Welke Waalse provincie heeft een vlag met een zwarte leeuw op geel-rood?,Henegouwen
Welke Waalse rivier stroomt door Charleroi en Namen?,Sambre
Welke Brusselse gemeente heeft als patroonheilige de apostel Andreas?,Sint-Andries
Welke zeestraat verbindt de Zwarte Zee met de Zee van Azov?,Straat van Kertsj
Welk Europese vorstendom ligt tussen Zwitserland en Oostenrijk?,Liechtenstein
In welke Parijse voorstad bevindt zich de koninklijke necropool van de Franse vorsten?,Saint-Denis
Welke rivier stroomt door Dublin?,Liffey
Welke Duitse stad werd gebouwd in een meteorietkrater?,Nördlingen
Welke Oostenrijkse stad staat bekend om haar zoutmijnen nabij Berchtesgaden?,Hallein
Welke brug- en tunnelverbinding verbindt Denemarken met Zweden?,Øresundverbinding
Welke gemeente in Frans-Vlaanderen staat bekend om haar reuzenstoet en baksteenarchitectuur?,Steenvoorde
Welke historische regio ligt tussen Finland en Rusland?,Karelië
Welke strategische landstrook verbindt de Baltische staten met de rest van de NAVO?,Suwalki-corridor
Welke vulkaan op La Palma barstte uit in 2021?,Cumbre Vieja
Hoe noemt men een kustweg die hoog boven de zee loopt, vooral bekend aan de Franse Rivièra?,Corniche
Welke top van meer dan 4300 meter ligt in Wallis en betekent “Witte Tand”?,Dent Blanche
Welke twee grote droogmakerijen werden gerealiseerd in de Zuiderzeewerken?,Wieringermeer en Noordoostpolder
##Rest van de wereld - passen, zeestraten, corridors
Welk Afrikaanse land werd in 2011 opgesplitst waardoor Zuid-Soedan ontstond?,Soedan
Welke eilandengroep omvat onder meer de Canarische Eilanden en Madeira?,Macaronesië
Wat is de administratieve hoofdstad van Sri Lanka?,Sri Jayewardenapura Kotte
Welke Zuid-Amerikaanse republiek ligt tussen Argentinië, Brazilië en Bolivia?,Paraguay
Welke Zuid-Amerikaanse republiek ligt tussen Argentinië en Brazilië aan de Río de la Plata?,Uruguay
Welke nauwe doorgang vormt de toegang tot de Rode Zee vanuit de Golf van Akaba?,Karische Poort
Welk Centraal-Aziatisch land heeft Tasjkent als hoofdstad?,Oezbekistan
Welke Amerikaanse staat staat bekend om zijn aardappelteelt?,Idaho
Welke Amerikaanse staat heeft Oklahoma City als hoofdstad?,Oklahoma
Welke zee ligt ten noorden van Siberië?,Karazee
Welke Chinese rivier stroomt door Shanghai?,Huangpu Jiang
Hoe heet de belangrijkste draagraketfamilie van Rusland genoemd naar een Siberische rivier?,Angara
Hoe heet de hoogste berg van Namibië?,Brandberg (Königstein)
Hoe heet de nieuwe hoofdstad van Indonesië die Jakarta moet vervangen?,Nusantara
Hoe noemt men een kaal of onbegroeid gebied in een landschap?,Blootland
Welk Noord-Afrikaans land heeft Tripoli als hoofdstad?,Libië
Welke Zuid-Afrikaanse bergstreek is een UNESCO-biosfeerreservaat ten noorden van Pretoria?,Waterberg
Welke bergstreek strekt zich uit door Rusland Mongolië China en Kazachstan?,Altaj
Welke woestijn is de grootste van Australië?,Great Sandy Desert
Welk Congolees volk staat bekend om zijn imposante maskers en beeldhouwwerken?,Songye
Welke Britse WO II-operatie gebruikte een vals lijk om de Duitsers te misleiden?,Operation Mincemeat
Hoe heet de opstand van Jemeljan Poegatsjov tegen Catharina de Grote?,Poegatsjov-opstand
In welke Franse gemeente werd Napoleon verslagen tijdens zijn laatste veldtocht vóór Waterloo?,Montereau-Fault-Yonne
Welke invloedrijke abt wordt beschouwd als de grondlegger van de gotische architectuur?,Suger
Hoe heette de moeder van koning Darius III van Perzië?,Sisygambis
Welke vertrouweling van Alexander de Grote werd na diens dood vergoddelijkt?,Hephaestion
Welke veldslag uit 1794 bezorgde Frankrijk de controle over de Zuidelijke Nederlanden?,Slag bij Fleurus
