vraag,antwoord
Welke Zuid-Soedanese basketter Phoenix Suns heeft een dubbele naam?, Bol Bol
Welke NBA-speler won in 2016 een titel met de Cleveland Cavaliers en is bekend om zijn spectaculaire dribbels?, Kylie Irving
Welke Kameroenese center speelt al 12 jaar voor Philadelphia en werd tweemaal topscorer in de NBA? Hij werd ook MVP in 202, Joel Embiid
Welke Nederlandse basketballer speelde jarenlang bij de Indiana Pacers in de NBA?, Rik Smits
Welke speelster leidt het conflict tegen de WNBA en wie is daar de voorzitster van?, Napheesa Collier en Cathy Engelbert
Welke basketter voor de Toronto Raptors werd geschorst wegens gokken, Jontay Porter
Welke twee spelers werden in 2025 tot ieders verbijstering betrokken in een trade?, Doncic en Davis
Welke twee teams waren in 2025 betrokken in de meest verbijsterende trade?, Dallas Mavericks en LA Lakers
Welke coach werd door de verbijsterende trade en de latere slechte resultaten ontslagen?, Harrison
Kleinere basketter uit de jaren 90 die uitkwam voor de Phoenix Suns en Olympisch kampioen werd met het dream team van 1996, Charles Barkley
Welke 26-jarige kinesiste uit Ieper speelt als point guard bij de Cats, Elise Rammette
Welke basketcoach coachte o.a. de Seattle Supersonics en Cleveland Cavaliers, Lenny Wilkens
Welke coach won 10 keer de NBA met de Boston Celtics waarvan 8 keer op rij tussen 59 en 66, Red Auerbach
Welke coach leidde in de jaren 2000 de San Antonio Spurs 5 keer naar de NBA-titel,  Gregg Popovich
Noem de starting 5 van Boston in de NBA 2026, Tatum Brown Hauser White en Queta
Wie is de sterspeler van de Philadelphia 76'ers?, Tyrene Maxey
Welke sterspeler is actief bij de Minnesota Timberwolves?, Anthony Edwards
Welke stad levert mogelijk voor het eerst een NBA-team?, Las Vegas
Welke ploeg keert mogelijk terug in de NBA?, Seattle Supersonics
Welke Serviër steelt de show bij de Denver Nuggets?, Nikola Jokic
Welke speler van de LA Lakers is nu recordhouder van het aantal wedstrijden in de NBA?, Lebron James
Welke speelster voerde de onderhandelingen over het salaris in de WNBA?, Breanna Stewart
Bij welke twee ploegen speelt Emma Meesseman?, Fenerbahce en New York Liberty
Bij welke twee ploegen speelt Julie Lallemand?, Fenerbahce en Toronto
Hoe heet de dochter van Kim Clijsters die geselecteerd is voor de Nike Hoop Challenge?, Jada Lynch
Waar spelen de Golden State Warriors en waar speelden ze voor ze verhuisden?, Oakland en Minneapolis
Wie heeft na Wilt Chamberlain de meeste punten gescoord in één match?, Sam Adebayo
Welke NBA-scheidsrechter gokte op wedstrijden die hij zelf floot?,Tim Donaghy
Welke basketspeelster is de nieuwe ster in de WNBA en het nationale team, Caitlin Clark
Welke Antwerpse Cat komt uit voor Avenida en is specialiste in driepunters, Antonia Delaere
Hoe heet de CEO van basket Vlaanderen die op de hoogte zou geweest zijn van de fraude in het 3x3 debacle?, Koen Umans
Hoe heet de finale in het universiteitsbasketbal in Amerika, March Madness
Welke NBA-ster speelt bij de Memphis Grizzlies?,Ja Morant
Hoe heet een pass tot kortbij de korf waarna de aangespeelde ploegmaat de bal maar voor het inleggen heeft vaak met een dunk?, Alley Oop
Bij welke twee ploegen speelt Julie Van Loo?, Mersin en LA Sparks
Wie werd rookie of the year in 2024-2025 en haalde een triple double voor San Antonio Spurs bij de Dallas Mavericks, Stephon Castle
Guard van de Boston Celtics die niet eens een scholarship had en zich naar het Olympisch team in 2024 knokte?, Derrick White
Defensieve speler en driepunterspecialist bij Oklahoma, Dirty Dort
Welke Belg droomt van de NBA maar speelt nu nog college basketball bij Virginia, Thijs De Ridder
Welke ster speelde tussn 2009 en 2019 voor de Oklahoma City Thunder naast Kevin Durant en werd MVP in 2017?, Russel Westbrook
Hoe heet de spelverdeler in basket?, Point Guard
Hoe heten de vleugelspelers in basket?, Shooting Guard en Small Forward
Hoe heten de spelers onder de ring in basket?, Power Forward en Center
Welke Franse Center werd al vier keer verkozen tot beste verdediger?, Rudy Gobert
Voor welke ploeg speelt de Griekse center Giannis AntetoKoumpo?, Milwaukee Bucks
Welke Soedanese NBA-speler was jarenlang de grootste speler uit de competitie?,Manute Bol
Welke Franse basketbalster werd in 2023 als eerste gekozen in de NBA Draft?,Victor Wembanyama
Welke NBA-speler kreeg de bijnaam Mugsy omwille vans zijn lengte van slechts 1m60?,Mugsy Bogues
Welke NBA-legende is afgebeeld in het logo van de competitie?,Jerry West
Welke NBA-speler won in 2016 de titel met Cleveland Cavaliers naast LeBron James?,Kyrie Irving
