vraag,antwoord
Dit punt in de Marianentrog is het diepste punt van alle wateren en is genoemd naar een Russisch onderzoeksschip, Vitjaz
Hoe heet de streek in het noordoosten van de Nederlandse provincie Noord-Brabant?, Land van Cuijk
Links van de Zurenborgwijk ligt het Groen Kwartier dat historisch nog een andere naam draagt naar een van de straten die erdoor lopen, Haringrode
Welke wijk in Antwerpen bevindt zich net onder Brederode?, Markgraaf
Welke twee gemeenten fuseerden met Gooik tot Pajottegem?,Galmaarden en Herne
Welke rivier stroomt door de Ardennen en mondt uit in de Vesder? Ze was mee debet aan de overstromingen van Pepinster,Hoëgne
Welke zijrivier van de Dijle loopt door Villers-la-ville en voorzag de abdij van waterkracht?, Thyle
Welke zijrivier van de Thyle loopt door Mont Saint-Guibertin?, Orne
Welke beek mondt bij Escanaffles uit in de Schelde, Ronne
Welk Europees netwerk beschermt waardevolle natuurgebieden?,Natura 2000
Welke zee overspoelde in het tertiair het noorden van België en liet de Vlaamse Ardennen het Pajottenland en het Hageland als getuigenheuvels achter?, Diestiaanzee
Welke beek loopt door het grondgebied van Halen en vormt min of meer de oostelijke grens van het Hageland?, Velpe
Welke stad langs de Spree kunnen we beschouwen als de grootste stad van de Sorbische regio?, Cottbus
Welke zeestraat ligt tussen Denemarken en Noorwegen?,Skagerrak
Welke bergketen vormt een natuurlijke grens tussen Polen en Slowakije?,Tatra
Welke stad aan het Bodenmeer is de hoofdstad van het Oostenrijkse kanton Vorarlberg?,Bregenz
Wat is de tweede grootste stad van Albanië? De havenstad stond bij de oude Grieken bekend als Epidamnos, Dürres
Welke berg in Albanië is de hoogste van de Dinarische Alpen?, Maja Jezerce
Welke zijrivier van de Douro stroomt door Valladollid?, Pisuerga
Welke kleine tectonische plaat schuurt in het noorden tegen de Eurazische en in het zuiden tegen de Arabische?,Anatolische
Welke twee historische regio's naast Colchis maakten samen de Kaukasus uit in de oudheid? Je zou ze nochtans niet daar verwachten, Iberia en Albania
Wat is de tweede hoogste berg van de Kaukasus na de Elbroes?, Dykh-Tau
Wat is de tweede hoogste vulkanische berg van de Kaukasus na de Elbroes?, kazbek
Welke rivier vormt een deel van de grens tussen Rusland Azerbeidzjan en Iran?,Arax
Welk kruisvaarderskasteel ligt in Syrië?,Krak des Chevaliers
Hoe heet de autonome regio van Papoea-Nieuw-Guinea die in 2019 na een lange strijd koos voor onafhankelijkheid? Ze is genoemd naar de grootste van deze noordelijke Salomonseilanden, Bougainville
Texas is de tweede grootste staat van Amerika qua oppervlakte en bevolking. Wat zijn de nummers één?, Alaska en Californië
Hoe heet de hoogste berg van Noord-Amerika als we Alaska buiten beschouwing laten? Ze ligt in de Sierra Nevada in Californië, Mount Whitney
Hoe heet de landbrug tussen India en Sri Lanka die mogelijk wijst op oeroude menselijke activiteit?, Adam's bridge
Hoe heet India officieel in het Hindi?,Bharat
Wat is de langste rivier van Chili?, Loa
Wat is de tweede grootste agglomeratie van Chili na Santiago en voor Valparaiso? De stad ligt aan de monding van de Biobio, Concepcion
Wat is Arabisch voor westen of westelijk, Maghrib
Wat is Arabisch voor oosten of oostelijk, Mashriq
Wat was het centrum van de Ommajaden toen het westen en oosten van de Arabische invloedssfeer werden bepaald?, Damascus
Wat is de hoofdstad van Tadjikistan, Doesjanbe
Wat is de hoofdstad van Oezbekistan, Tasjkent
