vraag,antwoord
Where were the skeletons of Iguanodons found that are on display in the Museum of Natural Sciences,Bernissart
What do we call a written Greek shard,ostracon
What were the names of the three locomotives that were the first to travel on the Belgian railways,Olifant Stephenson and Pijl
Which substance with the formula C four H ten is in vanishing spray,butane
What is another word for hereditary factor,allele
Where was the skeleton of a dog found that is on display in the Museum of Natural Sciences,Goyet
Where was the skeleton of a mammoth found that is on display in the Museum of Natural Sciences,Lier
What is the name of the study of dating by means of rings in trees,dendrochronology
What is the name of Chinese writing,hanzi
What is the name of the human species that lived next to homo heidelbergensis in Africa,Homo Rhodesiensis
What science was invented by the Frenchman Martel, speleology
Which shells had a monetary function, kauri
What is the name of the cap-like part of a mushroom? It is also a cap from Greece,pileus
Which Frenchman was the spiritual pioneer of flora in the Antilles,Charles Plumier
