vraag,antwoord
Waar en wanneer werd Napoleon geboren, Ajaccio 1769	
Wie was commandant van Napoleon tijdens de Franse revolutie?, du Teil	
Welke Corsicaanse patriot nam de leiding over het eiland tijdens de revolutie maar werd gearresteerd wegens verraad, Paoli	
Wie was Napoleon zijn eerste vrouw?,Joséphine de Beauharnais	
Hoe heette het pamflet dat Napoleon schreef dat hij later als Keizer probeerde weg te moffelen, Le Souper de Beaucaire	
Welke oorlogshaven veroverde Napoleon in 1793 wat hem in het gevlei bracht van de Robespierres, Toulon	
In welke slag versloeg Napoleon de Oostenrijkers op 10 mei 1796, Slag bij Lodi	
Welke veldslagen brachten Napoleon tot op 120 km van Wenen?, Brug van Arcole en Rivoli	
Welk verdrag sloot Napoleon in Friuli met Ludwig von Cobenzl, Campo Formia	
In welke Egyptische baai verloor Napoleon een zeeslag tegen Nelson, Aboukir		
Wie organiseerde de staatsgreep tegen het directoire maar werd gepasseerd door Napoleon als eerste consul?, Sieyes	
Wie werd minister van Buitenlandse Zaken en was feitelijk de tweede man van het regime Napoleon?, Talleyrand	
Waar boekte generaal Desaix een overwinning op de Oostenrijkers op 14 juni 1800, Marengo	
Welke beslissende overwinning op Oostenrijk werd geboekt door generaal Jean-Victor Moreau, Hohenlinden	
Waar werd de vrede tussen Frankrijk en Oostenrijk getekend in 1801, Lunéville	
Welke vrede maakte een einde aan de oorlog van Frankrijk met Groot-BrittanniÃ« in 1802, Amiens	
Welke paus kroonde Napoloen tot keize maar werd later gevangen genomen bij de verovering van de pauselijke gebieden?, Pius VII	
Welke grote slag won Napoleon in 1805 tegen de Russen en Oostenrijkers, Austerlitz	
Welke vrede volgde in 1805 op de slag bij Austerlitz, Presburg	
Welke Oostenrijkse keizer trad af na de vele nederlagen tegen Napoleon, Frans II	
Welke Poolse gravin werd Napoleon zijn maitresse tijdens de vierde coalitie-oorlog?, Maria Walewska	
Welke vrede tekende Napoleon met tsaar Alexander van Rusland in 1807?, Tilsit	
Hoe heette zijn broer die koning werd van Westfalen?, Jerome	
Hoe heette zijn broer die koning werd van Napels?, Joseph	
Welke broer werd koning van Holland?, Lodewijk	
Hoe heette zijn stiefzoon?, Eugene	
Met welke dochter van Frans I huwde hij in 1810, Marie-Louise van Oostenrijk	
Welke Britse generaal bestreed Napoleon in Portugal, Wellesley	
Welke slag won en welke vrede dwong Napoleon af tegen Oostenrijk in de vijfde coalitie-oorlog, Wagram en Schonbrunn	
Welke maarschalk voerde het bevel over la grande armÃ©e naast Napoleon, Ney	
Wie was veldmaarschalk van de Russen in de slag bij Borodino, Koetoezov	
Welke veldslagen won Napoleon alsnog voor hij verloor in Leipzig, Lutzen en Bautzen	
Welke stad in Frankrijk was het toevluchtsoord voor Napoleon tijdens de slag om Parijs en zijn daaropvolgende afzetting, Fontaineblau	
Wie was Napoleons vertrouweling tijdens de verbanning naar ELba,  Armand de Caulaincourt 	
Welke koning nam de macht in Frankrijk over van Napoleon, Lodewijk 18	
Welke symbolische naam kreeg de machtsherovering van Napoleon, Adelaarsvlucht	
Waar in BelgiÃ« verschool Louis 18 zich tijdens de machtsherovering van Napoleon, de Veldstraat in Gent 	
Welk Congres besloot tot de finale oorlog tegen Napoleon, Wenen	
Wie leidde de Engelsen en de Pruisen in de slag bij Waterloo, Wellington en Blucher	
Wie was minister van binnenlandse zaken onder Napoleon, Lazare Carnot	
In welke brief gaf Napoleon zich over aan de Britten?, Themistoclesbrief	
Welke jeugdliefde zou later koningin van Zweden worden als vrouw van Bernadotte?, Désirée Clary
Bij welke hofdame verwekte Napoleon een zoon?, Eléonore Denuelle de la Plaigne
Hoe heette zijn zoon uit het huwelijk met Marie-Louise, Frans Karel Jozef (Napoleon II)	
Welke Britse karikaturist is mee verantwoordelijk voor het idee dat Napoleon klein was?, James Gillray	
Welke schilder deed hem voortleven in zijn portretten?, David	
Welke veldslag uit 1794 bezorgde Frankrijk de controle over de Zuidelijke Nederlanden?,Slag bij Fleurus
Hoe heette het Franse vlaggenschip dat deelnam aan de slag bij Fleurus?,L'Entreprenant
In welke Franse gemeente werd Napoleon verslagen tijdens zijn laatste veldtocht vóór Waterloo?,Montereau-Fault-Yonne
Hoe heet het kruispunt ten zuiden van Waterloo waar in 1815 hevig werd gevochten?,Quatre Bras
Welke veldslag uit 1805 geldt als Napoleons grootste overwinning?,Austerlitz
Hoe heette het paard van de hertog van Wellington tijdens Waterloo?,Copenhagen
Welke overwinning van Napoleon in 1800 gaf haar naam aan een kipgerecht?,Marengo
Welke trouwe maarschalk van Napoleon gaf zijn naam aan een hondenras?,Duroc
