vraag,antwoord
Wat is de hoofdstad van Alabama?,Montgomery
Wat is de hoofdstad van Alaska?,Juneau
Wat is de hoofdstad van Arizona?,Phoenix
Wat is de hoofdstad van Arkansas?,Little Rock
Wat is de hoofdstad van California?,Sacramento
Wat is de hoofdstad van Colorado?,Denver
Wat is de hoofdstad van Connecticut?,Hartford
Wat is de hoofdstad van Delaware?,Dover
Wat is de hoofdstad van Florida?,Tallahassee
Wat is de hoofdstad van Georgia?,Atlanta
Wat is de hoofdstad van Hawaii?,Honolulu
Wat is de hoofdstad van Idaho?,Boise
Wat is de hoofdstad van Illinois?,Springfield
Wat is de hoofdstad van Wat is de hoofdstad van Indiana?,Indianapolis
Wat is de hoofdstad van Iowa?,Des Moines
Wat is de hoofdstad van Kansas?,Topeka
Wat is de hoofdstad van Kentucky?,Frankfort
Wat is de hoofdstad van Louisiana?,Baton Rouge
Wat is de hoofdstad van Maine?,Augusta
Wat is de hoofdstad van Maryland?,Annapolis
Wat is de hoofdstad van Massachusetts?,Boston
Wat is de hoofdstad van Michigan?,Lansing
Wat is de hoofdstad van Minnesota?,Saint Paul
Wat is de hoofdstad van Mississippi?,Jackson
Wat is de hoofdstad van Missouri?,Jefferson City
Wat is de hoofdstad van Montana?,Helena
Wat is de hoofdstad van Nebraska?,Lincoln
Wat is de hoofdstad van Nevada?,Carson City
Wat is de hoofdstad van New Hampshire?,Concord
Wat is de hoofdstad van New Jersey?,Trenton
Wat is de hoofdstad van New Mexico?,Santa Fe
Wat is de hoofdstad van New York?,Albany
Wat is de hoofdstad van North Carolina?,Raleigh
Wat is de hoofdstad van North Dakota?,Bismarck
Wat is de hoofdstad van Ohio?,Columbus
Wat is de hoofdstad van Oklahoma?,Oklahoma City
Wat is de hoofdstad van Oregon?,Salem
Wat is de hoofdstad van Pennsylvania?,Harrisburg
Wat is de hoofdstad van Rhode Island?,Providence
Wat is de hoofdstad van South Carolina?,Columbia
Wat is de hoofdstad van South Dakota?,Pierre
Wat is de hoofdstad van Tennessee?,Nashville
Wat is de hoofdstad van Texas?,Austin
Wat is de hoofdstad van Utah?,Salt Lake City
Wat is de hoofdstad van Vermont?,Montpelier
Wat is de hoofdstad van Virginia?,Richmond
Wat is de hoofdstad van Washington?,Olympia
Wat is de hoofdstad van West Virginia?,Charleston
Wat is de hoofdstad van Wisconsin?,Madison
Wat is de hoofdstad van Wyoming?,Cheyenne
