vraag, antwoord
Welke Britse vorstin regeerde het langst in de 19e eeuw?,Victoria
Hoe heetten de hoogopgeleide ambtenaren in het keizerlijke China?,Mandarijnen
Hoe heette de joodse verzetsgroep die in de 1e eeuw tegen de Romeinen streed?,Zeloten
Welke beroemde Duitse natuuronderzoeker voer de Orinoco af,Alexander von Humboldt
Welke Habsburgse vorstin regeerde Oostenrijk van 1740 tot 1780?,Maria Theresia
Welke Italiaanse koning benoemde Benito Mussolini in 1922 tot premier?,Vittorio Emanuele III
Welke beruchte Amerikaanse outlaw werd in 1882 vermoord door Robert Ford?,Jesse James
Welke marxistische revolutionaire leidster werd in 1919 in Berlijn vermoord?,Rosa Luxemburg
Welke vredesafspraken uit 1993 regelden gedeeltelijk de relatie tussen Israël en de PLO?,Oslo-akkoorden
Welke vredesovereenkomst uit 1670 bevestigde Engelse bezittingen in de Caraïben?,Vrede van Madrid
Welke Chinese dynastie bouwde een groot deel van de huidige Grote Muur?,Ming-dynastie
Welke Amerikaanse president moest het hoofd bieden aan het begin van de Grote Depressie?,Herbert Hoover
Welke Franse politicus gaf zijn naam aan een Frans vliegdekschip?,Georges Clemenceau
Welke Engelse zeevaarder werd in 1588 beroemd door de strijd tegen de Spaanse Armada?,Sir Francis Drake
Welke Waalse stad staat bekend om haar vijf bruggen over de Schelde?,Doornik
Welke brug over het Kanaal Gent-Brugge wordt ook de MIRA-brug genoemd?,Vierendeelbrug van Aalter
In welke Zwitserse stad zetelt het Internationaal Olympisch Comité?,Lausanne
Hoe heet het Caribische eiland dat verdeeld is tussen Frankrijk en Nederland?,Sint-Maarten
Welke Belgische grensgemeente ligt tegenover het Franse Halluin?,Menen
In welke Poolse stad bevindt zich het Wawel-kasteel?,Krakau
Welke Jordaanse archeologische stad staat bekend om haar rotsarchitectuur?,Petra
Wat zijn de hoofdsteden van de Amerikaanse staten Maine en Montana?,Augusta en Helena
Welke stad in Tennessee was de woonplaats van Elvis Presley?,Memphis
Welke Siciliaanse stad staat bekend om haar Griekse tempelvallei?,Agrigento
Welke grote rivier vormt deels de grens tussen Canada en de VS?,Saint Lawrence River
Wat is de hoofdstad van Letland?,Riga
Hoe heet de laaggelegen polderstreek op de Belgisch-Franse grens bij Veurne?,De Moeren
Hoe heet de warme valwind aan de noordzijde van de Alpen?,Föhn
Hoe heet de beroemde driehoekige wolkenkrabber in New York?,Flatiron Building
Hoe heet het kleine eilandje met een klooster voor de kust van Korfoe?,Pontikonisi
Wat is de hoofdstad van de Amerikaanse staat Alabama?,Montgomery
Hoe heet het Nederlandse systeem van waterkeringen na de Watersnoodramp van 1953?,Deltawerken
Welke twee Europese landen hebben een horizontale driekleur in rood-wit-groen?,Hongarije en Bulgarije
Welke twee wielrenners werden wereldkampioen in respectievelijk 1952 en 1991?,Georges Ronsse en Gianni Bugno
Welke Catalaanse voetbalclub is de grote stadsrivaal van FC Barcelona?,Espanyol
Hoe heet het Belgische nationale team in motorcross?,Red Knights
Hoe heet het Belgische nationale team in korfbal?,Belgian Diamonds
Welke Franse wielrenner reed ooit een solo van meer dan 200 km in Parijs-Roubaix?,Thierry Marie
Welke Belgische topvolleyballer is vader van voetballers Thibaut en Eden Courtois?,Thierry Courtois
Welke Belgische judoka werd olympisch kampioen in 1980?,Robert Van de Walle
Welke Nederlandse voetbalbestuurder was voorzitter van Ajax en kandidaat bij FIFA?,Michael van Praag
Welke Belgische biljartkampioen domineerde jarenlang het driebanden?,Eddy Merckx
Welke Nederlandse middenvelder speelde bij Ajax en Real Madrid?,Rafael van der Vaart
Welke Britse atleet won olympisch goud op de 5000 en 10000 meter?,Mo Farah
Wie was jarenlang kabinetschef van koning Filip?,Frans Van Daele
Welke Vlaamse actrice speelde o.a. in Safety First?,Ruth Beeckmans
Welke kok en presentatrice was getrouwd met Sergio Herman?,Ellemieke Vermolen
Wie was maitresse van koning Albert en is de moeder van Delphine Boël?,Sybille de Selys Longchamps
Welke stubru-presentatrice kwam later op voor de NVA?,Manuela Van Werde
Wie is CEO van de NMBS?,Sophie Dutordoir
Welke Duitse toneelschrijver schreef Mutter Courage?,Bertolt Brecht
Wie is de schepper van de stripfiguur Cédric?,Raoul Cauvin
Welke Vlaamse toneelschrijver werd geboren in 1926?,Tone Brulin
Hoe heet de populaire boekenreeks van Jeff Kinney?,Diary of a Wimpy Kid
Welke Vlaamse stripreeks werd gemaakt door Nix?,Kinky & Cosy
Welke Vlaamse cartoonist tekent voor Humo?,Bavo Dhooge
Welke Nederlandse schrijfster schreef Bleekers zomer?,Mensje van Keulen
Wie schreef de 19e-eeuwse verhalenbundel Camera Obscura?,Nicolaas Beets
Welke Vlaamse auteur schreef Hellekind?,Peter De Roeck
Welke Amerikaanse soapreeks speelde zich af in een fictief stadje in New England?,Peyton Place
Welke Disneyfilm uit 1928 was de eerste met synchroon geluid?,Steamboat Willie
Welke Britse detectiveserie is een prequel van Inspector Morse?,Endeavour
Welke Franse regisseuse maakte Beau Travail?,Claire Denis
Welke Vlaamse talkshow wordt gepresenteerd door Friedl Lesage?,Touché
