vraag, antwoord
Wat is het grootste eiland van Canada?,Victoria Island
Welke Limburgse gemeente ontstond uit een fusie in 1977?,Hechtel-Eksel
Hoe heet de bekende brug over de Liffey in Dublin?,Half Penny Bridge
Welk groot stadspark ligt ten westen van het centrum van Dublin?,Phoenix Park
Welk Japans eiland ligt het meest zuidelijk van de vier hoofdeilanden?,Kyushu
Welke landen of regio’s liggen rond de Noordzee en de Alpen?,Japan, Noorwegen, Ierland, Beieren
Hoe heet het plein in Brussel vlak bij het Jubelpark?,Square Du Bois
Hoe heet het natuurgebied ten zuiden van Groningen?,Onlanden
Welke Griek stak de tempel van Artemis in brand om beroemd te worden?,Herostratos
Op welke heide in Limburg werd in 1574 een veldslag uitgevochten tijdens de Tachtigjarige Oorlog?,Mookerheide
Welke Duitse burcht werd zwaar beschadigd in de Dertigjarige Oorlog?,Hirschstein
Hoe heette de helikopter die beroemd werd tijdens de Vietnamoorlog?,Huey
Welke tiran van Syracuse was bekend uit de Oudheid?,Dyonissus van Syracuse
Welke Nederlandse zeevaarder wordt beschouwd als de ontdekker van Australië?,Willem Janszoon
Welke Amerikaanse auteur schreef The Postman Always Rings Twice?,James M. Cain
Welk voorwerp speelt een centrale rol in de roman van Hugo Claus?,Mes
Wat is de titel van het bekende gedicht van Paul van Ostaijen?,Ik ben er niet
Welke roman van James Joyce staat bekend om zijn experimentele stijl?,Finnegans Wake
Welke Vlaamse schrijver schreef Mijn huizen?,Raymond Brulez
Wat is het eerste deel van À la recherche du temps perdu van Proust?,Du côté de Chez Swann
Welke Zweedse schrijver staat bekend om zijn existentiële werken?,Stig Dagerman
Hoe heet het debuutwerk van Kristien Hemmerechts?,Het vergeven meisje
Hoe heet een slaapstoornis waarbij mensen seksuele handelingen stellen?,Sekssomnia
Hoe heet onderkoeling door plots koud water?,Hydrocutie
Hoe heet het Russische satellietnavigatiesysteem?,Glonass
Welk element is essentieel voor menselijke ademhaling?,Zuurstof
Welke bioloog staat bekend om zijn theorie over bevolkingsgroei?,Paul Ehrlich
Welke testprocedure meet het brandstofverbruik van auto’s?,WLTP
Wie ontdekte insuline?,Frederick Banting
Hoe heet het onderste uiteinde van de wervelkolom?,Staartbeen
Welke harde houtsoort werd gebruikt voor scheepslagers?,Pokhout
Hoe noemden de Grieken barnsteen?,Elektrum
Welke Spaanse voetbalster won de Gouden Bal in 2023?,Aitana Bonmatí
Welke Zwitserse triatlete is meervoudig wereldkampioen?,Daniela Ryf
Welke snookerspeler stond bekend als Hurricane?,Alex Higgins
Welke Belgische wielrenner reed voor Lotto-Soudal?,Van Den Keybus
Welke Italiaanse voetballer speelde bij Napoli en PSG?,Lorenzo Insigne
Welke Luxemburgse wielrenner won een etappe in de Tour?,Bob Jungels
Welke Belgische rallyrijder komt uit West-Vlaanderen?,Matthias Leterme
Wie is de CEO van McLaren Racing?,Zak Brown
Welke combinatie domineert de Franse drafsport?,Belina Josselyn / Jean-Michel Bazire
Welke Engelse voetbaltrainer staat bekend om zijn interviews?,Neil Warnock
Hoe heet de kleine BMW-microauto uit de jaren 50?,Isetta
Hoe heet de vierkante academische hoed?,Mortar Board
Hoe heet het autoconcern van Peugeot en Fiat?,Stellantis
Hoe heet het moment net na zonsondergang met blauw licht?,Blauwe uur
Welke elektrische SUV won World Car of the Year?,Jaguar I-Pace
Welke Britse acteur speelde vaak in Hammer-horrorfilms?,Peter Cushing
Welke actrice won een Oscar voor It Happened One Night?,Claudette Colbert
Welke film met Peter Sellers gaat over toeval en politiek?,Being There
Welke Hollywoodactrice stierf in een vliegtuigcrash?,Carole Lombard
Welke Noorse god werd soms met Japan geassocieerd in vergelijkende mythologie?,Freyr
Welke religieuze stroming combineert boeddhisme en Japanse tradities?,Japans boeddhisme
Welke Somalisch-Canadese rapper scoorde met Wavin’ Flag?,Knaan
Welke Noorse band maakte het album Melody A.M.?,Röyksopp
Welke band scoorde een hit met Baby Come Back?,Player
