vraag,antwoord
Hoe noemt men het Japanse misdaadsyndicaat dat vaak wordt aangeduid met de cijfers 8-9-3?, yakuza
Welke Zweedse koning uit de 17e eeuw was bekend als de ‘Leeuw van het Noorden’?, Gustaaf Adolf
Hoe heet de belangrijke pre-Columbiaanse archeologische site in Mexico bekend om zijn piramide van de nissen?, El Tajín
In welke uitgeverij zijn Nijgh & Van Ditmar en Querido opgegaan, Singel
Wie was de eerste dichteres des vaderlands, Anne Vegter
Naar welke eerste vrouwelijke doctor in de rechten is een prijs vernoemd? Popelin
Wie won de popelinprijs in 2021 voor haar onderzoek naar seksueel geweld, Ines Keygnaert
Wie schreef Wolf over haar overleden broer, taveirne
Hoe heet de schaal voor technologische vooruitgang, Kardashev
Hoe heet de schaal voor uitwerpselen, Bristol
Hoe heet de schaal voor wenen van ajuinen, Pyruvate
Hoe heet de schaal voor seksuele geaardheid, Kinsey
Hoe heet de schaal voor vervuiling in water, Platina Kobalt
Naar welke twee Italiaanse steden zijn schalen vernoemd voor impact van een meteoorinslag, Palermo en Torino
Hoe heet de schaal voor lichtvervuiling, Bortle
Hoe heet de schaal voor de impact van een steracteur op het succes van de film, Ulmer
Hoe heet de schaal voor mannelijke kaalheid, Hamilton Norwood
Hoe heet de romeinse rechtsregel die actie van een eigenaar beschrijft?, actio poliana
Welke juridische of religieuze uitspraak binnen de islam betekent een bindend oordeel?, Fatwa
Hoe heet de houten of metalen katrol die gebruikt wordt bij boten en tuigage?, Poelie
Hoe heet het proces waarbij textiel verstevigd wordt met stijfsel?, Cording
Welke appelvariëteit werd beroemd door het gelijknamige computermerk?, McIntosh
Welke bisschop gaf Trump haar speech de wenk de eenheid te bewaren en tot welke kerk behoorde ze?, Budde en Epyscopatische 
Hoe heet de zoete drank op basis van tijgernoten of amandelen, populair in Spanje en Mexico?, horchata
Hoe heet de beroemde gefermenteerde haai uit IJsland?, hakarl
een turntoestel bestaande uit twee grote ringen waarin acrobaten oefeningen uitvoeren, röhnrad
gymnastiek of acrobatiek uitgevoerd op een bewegend paard, voltige
Deense schilder en medeoprichter van de CoBrA-beweging, Asger Jorn
Deense kunstenaar bekend binnen de Situationisten, Jørgen Nash
Belgische dichter en kunstenaar medeoprichter van CoBra, Christian Dotremont
Nederlandse abstracte schilder en CoBrA-lid, Theo Wolvecamp
een hoge Andesberg op de grens tussen Argentinië en Chili, agua negra
twee van de hoogste berijdbare bergpassen in Ladakh (India), Kardung La en Chang La
iconisch Chinees bergmassief met mistzeeën en pijnbomen, Huangshan of Gele Berg
Belgische politici die pleitten voor culturele autonomie van Wallonië en Vlaanderen respectievelijk, Jules Destrée en Hippoliet Meert.
de beruchte plundering van Antwerpen in 1576 door Spaanse troepen, Spaanse Furie
Spaanse aanval en verwoesting van een henegouwse stad in 1554, Beleg van Binche, 
Belgische overlevende van Auschwitz en getuige van de Holocaust, Regine Beer
Spaanse conquistador en vroege ontdekkingsreiziger van de Caribische kust, Alonso de Ojeda
Venetiaans-Engelse ontdekkingsreiziger die verkende Noord-Amerika rond 1497, John Cabot
Spaanse navigator en cartograaf en maker van de oudste wereldkaart met Amerika, Juan de la Cosa
bijzonder hete Surinaamse chilipeper, Madame Jeanette
extreem hete Indiase chilipeper ook bekend als ‘ghost pepper’, Naga Jolokia
Nederlandse auteur en illustrator van kinderboeken en poëzie, Joke Van Leeuwen
Duitse arts en Nobelprijswinnaar voor serumtherapie, Emil von Behring
Belgische stripreeks over een roodharige politieagente in Chicago, Rubine
principe dat alle internetverkeer gelijk behandeld moet worden, Netpariteit
een onderzeese datakabel die continenten verbindt voor internetverkeer, Triton kabel,
het vervellen van reptielen en insecten wanneer ze groeien, ecdysis,
Vlaamse volksfiguur een soort huiskobold of beschermgeest, Kinneke Baba,
Franse populistische anti-belasting-beweging uit de jaren 1950, Poujadisme
lichte komedie met snelle dialogen misverstanden en slappe humor, Vaudeville
récalcitrant, koppig, weerspannig, moeilijk te sturen.
oudere weduwe van adel die leeft van haar erfdeel, Douairière
schaakterm waarmee je aangeeft dat je een stuk mag rechtzetten zonder zet te doen, j’adoube
ongeregelde strijder of sluipschutter buiten het reguliere leger, franc-tireur
Andes-moedergodin van de aarde en vruchtbaarheid, Pachamama
Griekse oergodinnen van respectievelijk de nacht en de aarde, Nyx en Gaia
Germaanse vruchtbaarheidsgodin geassocieerd met vrede en natuur, Nerthus
Keltische moeder- en vruchtbaarheidsgodinnen en godin van vuur/poëzie, Danu en Birgid
Tante van Arno en kunstenares, Ines van den Kieboom
Franse kunstschilderes voormalig model bekend voor expressieve portretten, Suzanne Valadon
Franse kunstenares bekend van haar kleurrijke sculpturen en “Nanas”, Niki de Saint Phalle
traditioneel Beiers vrouwenkleed en equivalent voor mannen, dirndl en snelzeiker
twee klassieke Griekse kledingstukken voor vrouwen, Chiton en Peplos
traditioneel Zuid-Afrikaans katoen met karakteristieke patronen, Shweshwe
lang los traditioneel gewaad gedragen door vrouwen in Arabische landen, Abaya
Brits fotograaf bekend om zijn dromerige soft-focus beelden, David Hamilton
Franse presentatrice en schrijfster bekend om haar getuigenis over misbruik, Flavie Flament
