vraag,antwoord
1 Lichtste element vormt water met zuurstof,Waterstof
2 Edelgas dat niet brandt en lichter is dan lucht,Helium
3 Zeer licht metaal gebruikt in batterijen,Lithium
4 Hard bros en transparant voor röntgenstralen,Beryllium
5 Vormt hittebestendig boorzuurglas,Boor
6 Basis voor alle bekende organische levensvormen,Koolstof
7 Maakt 78 procentvan onze atmosfeer uit,Stikstof
8 Essentieel voor ademhaling en verbranding,Zuurstof
9 Sterkste bekende oxidator zeer reactief,Fluor
10 Geeft felrood licht in neonreclame,Neon
11 Zacht metaal reageert hevig met water,Natrium
12 Brandt met fel wit licht,Magnesium
13 Licht en roestbestendig dankzij oxidefilm,Aluminium
14 Hoofdbestanddeel van zand en computerchips,Silicium
15 Komt voor als wit rood en zwart fosfor,Fosfor
16 Bekend van de geur van rotte eieren,Zwavel
17 Ontsmettingsmiddel in zwembaden,Chloor
18 Inert gas gebruikt in gloeilampen,Argon
19 Levensnoodzakelijk mineraal voor zenuwen,Kalium
20 Bouwsteen van botten en schelpen,Calcium
21 Licht metaal voor sportmateriaal,Scandium
22 Sterk als staal maar veel lichter,Titanium
23 Verbetert sterkte van staal,Vanadium
24 Geeft roestvrij staal zijn glans,Chroom
25 Nodig voor fotosynthese,Mangaan
26 Kern van hemoglobine en staal,IJzer
27 Essentieel in vitamine B12,Kobalt
28 Corrosiebestendig gebruikt in munten,Nikkel
29 Uitstekende geleider van elektriciteit,Koper
30 Beschermt staal via galvanisatie,Zink
31 Smelt net boven kamertemperatuur,Gallium
32 Halfgeleider voor elektronica,Germanium
33 Historisch bekend als gif,Arseen
34 Nodig in kleine hoeveelheden voor enzymen,Seleen
35 Vloeibaar halogeen bij kamertemperatuur,Broom
36 Gebruikt in laser en fotografielampen,Krypton
37 Zeer reactief alkalimetaal,Rubidium
38 Kleurt vuurwerk fel rood,Strontium
39 Verbetert fosforescerende schermen,Yttrium
40 Corrosiebestendig in kernreactoren,Zirkonium
41 Hoogtemperatuur supergeleider,Niobium
42 Cruciaal voor enzymatische reacties,Molybdeen
43 Eerst ontdekt als volledig synthetisch,Technetium
44 Katalysator in chemische processen,Ruthenium
45 Zeer duur gebruikt in katalysatoren,Rhodium
46 Absorbeert veel waterstofgas,Palladium
47 Beste elektrische geleider,Zilver
48 Gebruikt in oude nikkel cadmiumbatterijen,Cadmium
49 Zacht metaal voor touchscreens,Indium
50 Bestanddeel van brons en soldeer,Tin
51 Vlamvertragend in kunststoffen,Antimoon
52 Geeft knoflookgeur bij blootstelling,Telluur
53 Essentieel voor schildklierhormonen,Jodium
54 Gebruikt in autokoplampen en anesthesie,Xenon
55 Smelt net boven kamertemperatuur atoomklokken,Cesium
56 Contrastmiddel in röntgenonderzoek,Barium
57 Vergroot helderheid in camera lenzen,Lanthanium
58 Belangrijk in katalytische converters,Cerium
59 Geeft glas geel groene kleur,Praseodymium
60 Sterke permanente magneten,Neodymium
