vraag,antwoord
Welke abolitioniste schreef De (neger)hut van Oom Tom, Harriet Beecher Stowe
Welke afro-amerikaanse geboren in slavernij debuteerde in 1892 met A Voice from the South By a Woman from the South. Het boek wordt gezien als een van de eerste boeken die opkomt voor de rechten van zwarte vrouwen, Anna Cooper
Wie schreef het feministische werk A Vindication of the Rights of Woman en is tevens de de moeder van Mary Shelley die Frankenstein schreef?, Mary Wollstonecraft
Wie schreef The hill we climb en speechte op de inauguratie van Biden?, Amanda_Gorman
Welke Amerikaanse dichter schreef Paul Revere’s Ride?, Henry Longfellow
Wie schreef de dichtbundel Leaves of Grass?, Walt Whitman
Wiens gedicht begint met A simple child …, William Blake
Welke 19de eeuwse hofdichter is de meest geciteerde persoon na Shakespeare in de Oxford dictionary, Alfred Tennyson
Welke popuaire fantasy-auteur schreef de  Empyrean Pentalogy, Rebecca Yarros
Hoe heet het werk van Edgar Allan Poe met Montresor en Fortunato, Het vat van Montillado
Wie schreef de humoristische dievenverhalen over Father Brown, Chesterton
Wie pionierde in de kosmische horror, Howard Lovecraft
Hoe heet de baas van Jeeves, Bertie Wooster
Wie won tweemaal de Pulitzer-prijs voor fictie in 2017 en 2020, Colson Whitehead
Wie is de auteur Winnie the Pooh, A.A. Milne
Wie is de auteur van Sophie’s choice, William Styron
Welke Britse auteur schreef American Gods en Coraline?, Neil Gaiman
Welke Amerikaanse schrijver is bekend van de trilogie U.S.A.?, John Dos Passos
Wie schreef The Green Beret en werkte mee aan The Happy Hooker, Robin Moore
Welke Amerikaanse schrijfster won de Pulitzerprijs voor fictie in 2011 voor A Visit from the Goon Squad?, Jennifer Egan
Wie won de Pulitzer 2007 en schreef No Country for Old Men, Cormac McCarthy
Welke Britse illustrator werkte voor Roald Dahl?, Quentin Blake
Welke Amerikaanse natuurschrijver en tekenaar werd beroemd door zijn vogelkundige illustraties?, Audubon
Welke Nederlandse dichter schreef het beroemde kinderversje “Jantje zag eens pruimen hangen”?, Hieronymus van Alphen
Welke Vlaamse dichter en voormalig hoofdredacteur van De Brakke Hond staat bekend om zijn toegankelijke en humoristische poëzie?, Geert Stadeus
Welke Nederlandse schrijver brak in 1979 door met de roman Opwaaiende zomerjurken?, Oek de Jong
Welke twee hedendaags schrijverskoppel wonnen beiden de Libris Literatuurprijs (hij in 2019 zij in 2023)?, Rob van Essen en Lize Spit
Welke Vlaamse dichter en classicus heette eigenlijk Coupé?, Anton van Wilderode
Welke Vlaamse schrijver en wereldreiziger werd bekend door romans en gedichten die vaak exotische thema’s behandelen zoals in Tierra Caliente?, Karel Jonckheere
Welke Belgische auteur schrijft historische jeugd- en young adultromans waaronder De kleuren van het getto en Wij twee jongens?, Aline Sax
Welke Vlaamse schrijver bezong “Het Leven en de Dood in Vlaanderen”?, Albrecht Rodenbach
Welke Belgische auteur en kunstenaar is bekend om zijn illustratief werk en grafische romans?, Joris Brys
Welke Nederlandse auteur schreef veel dierenverhalen zoals “De aap en de filosoof”?, Anton Koolhaas
Welke hedendaags auteurskoppel schreef “Winst” en “Wij waren nooit hier”?, Olyslagers  en Van Lierop
