vraag,antwoord
Welk gebergte in Afrika is het hoogste niet-vulkanische en niet-orogenische gebergte? Het ligt op de grens van Oeganda en Kongo, Rwenzori
Het Rwenzori-gebergte is waarschijnlijk wat Ptolemaeus bedoelde met welke aanduiding op zijn kaart?, Maanbergen
Welk bergmassief op de grens van Slovenië en Italië heeft als hoogste top is Triglav en markeert de regio Friuli?,julische alpen
Wat is de belangrijkste pas die Pakistan met Afghanistan verbindt,Khyberpas
Welke grote inslagkrater in Arizona is bekend als “Meteor Crater”?, Baringer Crater
Hoe heet het plateau in het noordoosten van Tsjaad dat door erosie van zandsteen een natuurwonder is geworden, Enedi-massief
Welke twee ketens omringen de historische regio Bactrië, Hindu Kush en Pamir
Hoe heet de bergketen die de ruggengraat vormt van Kamsjatka, Sredny range
op welk russisch japans eiland wonen de ainu,sachalin
Noem twee grote eilanden van de Filipijnen na Luzon, Mindanao en Palawan
Welke atollen vind je voor de kust van Thailand, Langkawi
welk kasteel diende als filmset voor downtown abbey,highclere
welk schiereiland diende als filmset voor jaws,Martha's Vineyard
welk kasteel in Canada diende als filmset voor hitchock,Frontenac
welk Luiks fort ken je naast Eben-Emael en Aubin-Neufchateau,Battice
Hoe heet het soldatenkerkhof nabij Bastogne, Mardasson
Hoe heet de grote woestijn met bijzondere zwaveldampen en gekleurde meren, Danakil Depressie
Hoe heet de streek tussen Togo en Benin met de typische aarden woningen, Koutammakou
Welk groot woud in Rwanda is wellicht het best bewaarde bergregenwoud ter wereld en beschermd sinds 2024, Nyungwe
Welke eeuwenoude en enorme moskee bevindt zich in Mali, Djenné
Hoe heet het bekende verlaten diamantdorp in Namibië, Kolmanskop
Hoe heet de geiser bij Burning Man, Fly
Hoe heet de door mineralen gekleurde berg in Peru, Vinicunca
Welk bijzonder meer met grotten van blauw marmer vinden we in Chili? Het is het diepste en op 2 na grootste meer van Zuid-Amerika, General Carrera meer
Hoe heet de toeristische route in Argentinië zeg maar de de Argentijnse route 66, ruta quarenta
Hoe heet de plotse diepzee voor de kust van Belize, Great blue hole
waar woont Elon Musk,Boca Chica
Waar woont Biden,Greenville in Delaware
Hoe heet de woning van George Washington,Mount Vernon
Hoe heet de woning van Thomas Jefferson in Virginia,Monticello.
Hoe heet de woning van Theodore Roosevelt in Oyster Bay,Sagamore Hill
Hoe heet de woning van John F. Kennedy in de buurt van Washington D.C.,La Querida
Tussen de kleine en de grote Kaukasus liggen twee riviervalleien, de Rioni en de Koera
welke rivier vormt de grens Bosnië en Servië,drina 
welke rivier vormt de grens tussen Hongarije en Kroatië,drava
welke rivier loopt door Kaunas en mondt daar uit in de Memel, de Neris
wat is de langste bijrivier in derde en vierde rang namelijk van de Kama en de Wolga,belaya en ufa
wat is de langste bijrivier in tweede en derde rang van de Donau,Tisza en Mures
welke rivieren zijn de twee grootste rivieren die volledig in Portugal liggen, zezere en mondego
wat is de grootste rivier in Colombië,Rio Magdalena
Hoe heet de Vardar in het Grieks?, Axios
wat is de hoogste top van Antwerpen behalve de hoge maai,beerzelberg
welke stad in de Witte Zee is verboden via een gelijknamig kanaal met Sint-Petersburg,Belomorsk
hoe heet de zeestraat tussen australië en Tasmanië,bass
hoe heet de zeestraat tussen australië en nieuw-guinea,torres
welk meer wordt gevoed door de rivier drin en bevat het eiland Golem Grad? Het ligt op de grens van Albanië Griekenland en Macedonië,Ohrid
welke twee rivieren voeden het Aral-meer?, syr daria en amu darya
waar liggen de Beekse bergen,in Hilvarenbeek
hoe heet ‘s werelds grootste boeddhistische tempel in Indonesië,Borobudur 
tot welke taalgroep behoort Georgisch,Kartvelische talen
wat is het huisnummer van Sherlock Holmes,221b
Welke Braziliaanse stad is de toegangspoort tot het Amazonewoud,Manaus
Hoe heet het bekende gevangeniseiland bij New York,Rikers Island
hoe heet het kloppende hart van Athene,Syntagma plein
hoe heet het Museum voor Wetenschappen in Amsterdam,NEMO
Hoe heet het mangrovebos in de Gangesdelta, Sundarbans
Welk Deens museum voor moderne kunst ligt aan de Sont ten noorden van Kopenhagen?, Louisiana
Hoe heet het Nationaal park met witte kalksteenkliffen nabij Marseille, Calanques
