vraag,antwoord
Wat is de hoofdstad van Afghanistan,Kabul
Wat is de hoofdstad van Albania,Tirana
Wat is de hoofdstad van Algeria,Algiers
Wat is de hoofdstad van Andorra,Andorra la Vella
Wat is de hoofdstad van Angola,Luanda
Wat is de hoofdstad van Antigua and Barbuda,Saint John's
Wat is de hoofdstad van Argentina,Buenos Aires
Wat is de hoofdstad van Armenia,Yerevan
Wat is de hoofdstad van Australia,Canberra
Wat is de hoofdstad van Austria,Vienna
Wat is de hoofdstad van Azerbaijan,Baku
Wat is de hoofdstad van Bahamas,Nassau
Wat is de hoofdstad van Bahrain,Manama
Wat is de hoofdstad van Bangladesh,Dhaka
Wat is de hoofdstad van Barbados,Bridgetown
Wat is de hoofdstad van Belarus,Minsk
Wat is de hoofdstad van Belgium,Brussels
Wat is de hoofdstad van Belize,Belmopan
Wat is de hoofdstad van Benin,Porto-Novo
Wat is de hoofdstad van Bhutan,Thimphu
Wat is de hoofdstad van Bolivia,Sucre
Wat is de hoofdstad van Bosnia and Herzegovina,Sarajevo
Wat is de hoofdstad van Botswana,Gaborone
Wat is de hoofdstad van Brazil,Brasilia
Wat is de hoofdstad van Brunei,Bandar Seri Begawan
Wat is de hoofdstad van Bulgaria,Sofia
Wat is de hoofdstad van Burkina Faso,Ouagadougou
Wat is de hoofdstad van Burundi,Gitega
Wat is de hoofdstad van Cabo Verde,Praia
Wat is de hoofdstad van Cambodia,Phnom Penh
Wat is de hoofdstad van Cameroon,Yaounde
Wat is de hoofdstad van Canada,Ottawa
Wat is de hoofdstad van Central African Republic,Bangui
Wat is de hoofdstad van Chad,N'Djamena
Wat is de hoofdstad van Chile,Santiago
Wat is de hoofdstad van China,Beijing
Wat is de hoofdstad van Colombia,Bogotá
Wat is de hoofdstad van Comoros,Moroni
Wat is de hoofdstad van Congo, Democratic Republic of the,Kinshasa
Wat is de hoofdstad van Congo, Republic of the,Brazzaville
Wat is de hoofdstad van Costa Rica,San Jose
Wat is de hoofdstad van Cote d'Ivoire,Yamoussoukro
Wat is de hoofdstad van Croatia,Zagreb
Wat is de hoofdstad van Cuba,Havana
Wat is de hoofdstad van Cyprus,Nicosia
Wat is de hoofdstad van Czechia,Prague
Wat is de hoofdstad van Denmark,Copenhagen
Wat is de hoofdstad van Djibouti,Djibouti (city)
Wat is de hoofdstad van Dominica,Roseau
Wat is de hoofdstad van Dominican Republic,Santo Domingo
Wat is de hoofdstad van Ecuador,Quito
Wat is de hoofdstad van Egypt,Cairo
Wat is de hoofdstad van El Salvador,San Salvador
Wat is de hoofdstad van Equatorial Guinea,Malabo
Wat is de hoofdstad van Eritrea,Asmara
Wat is de hoofdstad van Estonia,Tallinn
Wat is de hoofdstad van Eswatini,Mbabane
Wat is de hoofdstad van Ethiopia,Addis Ababa
Wat is de hoofdstad van Fiji,Suva
Wat is de hoofdstad van Finland,Helsinki
Wat is de hoofdstad van France,Paris
Wat is de hoofdstad van Gabon,Libreville
Wat is de hoofdstad van Gambia,Banjul
Wat is de hoofdstad van Georgia,Tbilisi
Wat is de hoofdstad van Germany,Berlin
Wat is de hoofdstad van Ghana,Accra
Wat is de hoofdstad van Greece,Athens
Wat is de hoofdstad van Grenada,Saint George's
Wat is de hoofdstad van Guatemala,Guatemala City
Wat is de hoofdstad van Guinea,Conakry
Wat is de hoofdstad van Guinea-Bissau,Bissau
Wat is de hoofdstad van Guyana,Georgetown
Wat is de hoofdstad van Haiti,Port-au-Prince
Wat is de hoofdstad van Honduras,Tegucigalpa
Wat is de hoofdstad van Hungary,Budapest
Wat is de hoofdstad van Iceland,Reykjavik
Wat is de hoofdstad van India,New Delhi
Wat is de hoofdstad van Indonesia,Jakarta
Wat is de hoofdstad van Iran,Tehran
Wat is de hoofdstad van Iraq,Baghdad
Wat is de hoofdstad van Ireland,Dublin
Wat is de hoofdstad van Israel,Jerusalem
Wat is de hoofdstad van Italy,Rome
Wat is de hoofdstad van Jamaica,Kingston
Wat is de hoofdstad van Japan,Tokyo
Wat is de hoofdstad van Jordan,Amman
Wat is de hoofdstad van Kazakhstan,Astana
Wat is de hoofdstad van Kenya,Nairobi
Wat is de hoofdstad van Kiribati,Tarawa
Wat is de hoofdstad van Kosovo,Pristina
Wat is de hoofdstad van Kuwait,Kuwait City
Wat is de hoofdstad van Kyrgyzstan,Bishkek
Wat is de hoofdstad van Laos,Vientiane
Wat is de hoofdstad van Latvia,Riga
Wat is de hoofdstad van Lebanon,Beirut
Wat is de hoofdstad van Lesotho,Maseru
Wat is de hoofdstad van Liberia,Monrovia
Wat is de hoofdstad van Libya,Tripoli
Wat is de hoofdstad van Liechtenstein,Vaduz
Wat is de hoofdstad van Lithuania,Vilnius
Wat is de hoofdstad van Luxembourg,Luxemburg
Wat is de hoofdstad van Madagascar,Antananarivo
Wat is de hoofdstad van Malawi,Lilongwe
Wat is de hoofdstad van Malaysia,Kuala Lumpur
Wat is de hoofdstad van Maldives,Male
Wat is de hoofdstad van Mali,Bamako
Wat is de hoofdstad van Malta,Valletta
Wat is de hoofdstad van Marshall Islands,Majuro
Wat is de hoofdstad van Mauritania,Nouakchott
Wat is de hoofdstad van Mauritius,Port Louis
Wat is de hoofdstad van Mexico,Mexico City
Wat is de hoofdstad van Micronesia,Palikir
Wat is de hoofdstad van Moldova,Chisinau
Wat is de hoofdstad van Monaco,Monaco
Wat is de hoofdstad van Mongolia,Ulaanbaatar
Wat is de hoofdstad van Montenegro,Podgorica
Wat is de hoofdstad van Morocco,Rabat
Wat is de hoofdstad van Mozambique,Maputo
Wat is de hoofdstad van Myanmar,Naypyidaw
Wat is de hoofdstad van Namibia,Windhoek
Wat is de hoofdstad van Nauru,Yaren
Wat is de hoofdstad van Nepal,Kathmandu
Wat is de hoofdstad van Netherlands,Amsterdam
Wat is de hoofdstad van New Zealand,Wellington
Wat is de hoofdstad van Nicaragua,Managua
Wat is de hoofdstad van Niger,Niamey
Wat is de hoofdstad van Nigeria,Abuja
Wat is de hoofdstad van North Korea,Pyongyang
Wat is de hoofdstad van North Macedonia,Skopje
Wat is de hoofdstad van Norway,Oslo
Wat is de hoofdstad van Oman,Muscat
Wat is de hoofdstad van Pakistan,Islamabad
Wat is de hoofdstad van Palau,Ngerulmud
Wat is de hoofdstad van Palestine,Oost-Jeruzalem
Wat is de hoofdstad van Panama,Panama City
Wat is de hoofdstad van Papua New Guinea,Port Moresby
Wat is de hoofdstad van Paraguay,Asunción
Wat is de hoofdstad van Peru,Lima
Wat is de hoofdstad van Philippines,Manila
Wat is de hoofdstad van Poland,Warsaw
Wat is de hoofdstad van Portugal,Lisbon
Wat is de hoofdstad van Qatar,Doha
Wat is de hoofdstad van Romania,Bucharest
Wat is de hoofdstad van Russia,Moscow
Wat is de hoofdstad van Rwanda,Kigali
Wat is de hoofdstad van Saint Kitts and Nevis,Basseterre
Wat is de hoofdstad van Saint Lucia,Castries
Wat is de hoofdstad van Saint Vincent and the Grenadines,Kingstown
Wat is de hoofdstad van Samoa,Apia
Wat is de hoofdstad van San Marino,San Marino
Wat is de hoofdstad van Sao Tome and Principe,São Tomé
