vraag,antwoord
Hoe heet het debuut van Woody Allen?,What's up Tiger Lily
Welke film uit 2011 met Matthew McConaughey draait rond een advocaat in Los Angeles?,The Lincoln Lawyer
Welke Amerikaanse televisieserie draait rond een motorbende in Californië?,Sons of Anarchy
Welke regisseur maakte District 9 en groeide op in Johannesburg?,Neill Blomkamp
Welke Amerikaanse sitcom draait rond het gezin van Ray Barone?,Everybody Loves Raymond
Welke film uit 2018 met Nicolas Cage draait rond een wraakzuchtige man?,Mandy
Welke film uit 2021 met Nicolas Cage gaat over een truffeljager?,Pig
Welke film uit 2004 volgt twee vrienden tijdens een wijnreis in Californië?,Sideways
Welke Griekse regisseur maakte The Lobster?,Yorgos Lanthimos
Welke rampenfilm uit 1972 speelt zich af op een zinkend cruiseschip?,The Poseidon Adventure
Welke regisseur maakte The Sixth Sense?,M. Night Shyamalan
Welke Amerikaanse actrice speelde Ally McBeal?,Calista Flockhart
Welke regisseur maakte klassiekers als Some Like It Hot?,Billy Wilder
Welke HBO-serie is gebaseerd op een videogame over een post-apocalyptische wereld?,The Last of Us
Welke film van Chantal Akerman uit 1975 wordt beschouwd als een feministisch meesterwerk?,Jeanne Dielman
Welke Vlaamse kluswebsite en tv-programma helpt bij doe-het-zelfprojecten?,Dobbit
Welke Vlaamse podcastreeks rond kanker werd gepresenteerd door Leen Dendievel?,Gevoel voor Tumor
Welke regionale zender uit Vlaams-Brabant is gevestigd in Leuven?,ROB TV
Welke pratende das is een personage uit Paulus de boskabouter?,Gregorius
Welke Amerikaanse stand-upcomedian werd in 1966 gearresteerd wegens obsceniteit?,Lenny Bruce
Welke Poolse kinderanimatiereeks gaat over een zingend berenjong?,Beertje Colargol
Hoe heet de vrouw van Robert Kardashian die later hertrouwde met Bruce Jenner, Kris Houghton
Welke film van Paul Verhoeven uit 2021 gaat over een non in de 17e eeuw?,Benedetta
Welke Britse acteur speelde een rol in Spider-Man: Far From Home?,Tom Holland
Welke Vlaamse filmregisseur maakte onder meer Dossier K en Het Tweede Gelaat?,Jan Verheyen
Welke Vlaamse film uit 2007 van Hans Herbots speelt zich af rond een treinramp?,Ontspoord
Welke Nederlandse actrice is getrouwd met Koen De Graeve?, Ariane Van Vliet
Welke Belgische animatiefilmmaker creëerde de figuur Taxandria?,Raoul Servais
Welke Belgische film uit 2017 van Michaël R. Roskam heet in het Frans Le Fidèle?,Racer and the Jailbird
In welke film kreeg Gary Oldman een oscar voor zijn vertolking van Winston Churchill?,The Darkest Hour
Welke film van Stanley Kubrick gebruikt muziek van Schubert en Handel?,Barry Lyndon
Welke oorlogsfilm van Terrence Malick speelt zich af tijdens de Slag om Guadalcanal?,The Thin Red Line
Wie speelde Furillo in Hill Street Blues, Daniel Travanti
Wie speelde counseller Davenport in Hill Street Blues, Veronica Hamel
Welke controversiële film van Lars von Trier uit 2013 vertelt het verhaal van een seksverslaafde vrouw?,Nymphomaniac
Welke Amerikaanse acteur speelde onder meer in Platoon en Spider-Man?,Willem Dafoe
Welke komische filmreeks draait rond het personage met de voornaam die we zoeken en familienaam Worrell?,Ernest
Uit welke film die het Watergate schandaal vertolkte komt de catch phrase follow the money?, All the president's men
Welke actrice speelde Jackie Kennedy in de film Jackie en wie was de regisseur?,Natalie Portman en Pablo Larrain
Wie speelde Lucilla in Gladiator, Connie Nielsen
Welke film uit 2019 vormt het slot van de Rambo-reeks met Sylvester Stallone?,Rambo Last Blood
Welke fictieve naam gebruiken Hollywoodregisseurs wanneer ze hun naam niet op een film willen zetten?,Alan Smithee
Welke Stephen King-verfilming draait rond een bezeten Plymouth Fury uit 1958?,Christine
Welke oudere acteur speelde een crime lord in Reservoir Dogs?, Lawrence Tierner
Welke Amerikaanse soap uit de jaren 80 speelt zich af in een Californische wijnvallei van de familie Gioberti?,Falcon Crest
Welke Amerikaanse actrice won een Oscar voor haar rol in Judy?,Renée Zellweger
Welke Amerikaanse actrice speelde Dorothy in The Wizard of Oz?,Judy Garland
Welke Amerikaanse regisseur maakte Being John Malkovich?,Spike Jonze
Welk Hollywoodkoppel speelde samen in The Big Sleep?,Humphrey Bogart en Lauren Bacall
Hoe heet een persoon die acteurs stimuleert tijdens opnames van pornofilms?,Fluffer
Hoe heet de moordenaar uit de Saw-films?,Jigsaw
Wat is de echte familienaam van acteur Nicolas Cage die niet wilde dat die naam hem een voordeel zou opleveren?,Coppola
Welke Amerikaanse soapreeks speelde zich af in een fictief stadje in New England?,Peyton Place
Welke Disneyfilm uit 1928 was de eerste met synchroon geluid?,Steamboat Willie
Welke Britse detectiveserie is een prequel van Inspector Morse?,Endeavour
Welke Franse regisseuse maakte Beau Travail?,Claire Denis
Welke Vlaamse talkshow wordt gepresenteerd door Friedl Lesage?,Touché
Hoe heette het satirisch programma van Herman Van Molle?, TV Touché
Welke film van Steven Soderbergh uit 1989 won de Gouden Palm?,Sex Lies and Videotape
Welke Vlaamse film uit 2012 was met Annemone Valcke?,Offline
Hoe heet het personage van de arts en vampierenjager uit Dracula die in 2005 een eigen spin-off zou krijgen?, Abraham Van Helsing
Wie maakte in 1922 Nosferatu?, Murnau
Welke regisseur maakte Mr. Nobody against Mr. Putin, Pavel Talankin
Welke documentaire van Gianfranco Rosi speelt zich af op Lampedusa?,Fuocoammare
Hoe heette de documentaire die Eric Goens maakte over het WK Wielrennen van 2025?,Regenbogen in Rwanda
In welke film van Coppola uit 1983 over motorbendes speelde Nicolage Cage mee?, Rumble Fish
In welke film van Coppola uit 1983 over de jazz-scene speelde Nicolage Cage mee?, The Cotton Club
Voor welke film uit 1995 kreeg Nicholas Cage een oscar?, Leaving Las Vegas
In welke western uit 2025 speelt Nicholas Cage?, Gunslingers
Welke actrice won een oscar in 1936 en 1937?, Luise Rainer
Volgens de overlevering was deze Griek de allereerste acteur die op een podium een rol speelde. In het Engels is een afgeleide van zijn naam een synoniem voor acteur., Thespis of Thespian
Welke film betekende het regiedebuut van Woody Allen?,What's up tiger Lily?
